Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
655.36,1.187e-25,,1.187e-25,
655.41,1.093e-25,,1.093e-25,
655.46,1.002e-25,,1.002e-25,
655.51,9.130e-26,,9.130e-26,
655.56,8.273e-26,,8.273e-26,
655.61,7.451e-26,,7.451e-26,
655.66,6.667e-26,,6.667e-26,
655.71,5.925e-26,,5.925e-26,
655.76,5.227e-26,,5.227e-26,
655.81,4.575e-26,,4.575e-26,
655.86,3.972e-26,,3.972e-26,
655.91,3.420e-26,,3.420e-26,
655.96,2.918e-26,,2.918e-26,
656.01,2.467e-26,,2.467e-26,
656.06,2.065e-26,,2.065e-26,
656.11,1.712e-26,,1.712e-26,
656.16,1.406e-26,,1.406e-26,
656.21,1.142e-26,,1.142e-26,
656.26,9.183e-27,,9.183e-27,
656.31,7.306e-27,,7.306e-27,
656.36,5.750e-27,,5.750e-27,
656.41,4.476e-27,,4.476e-27,
656.46,3.447e-27,,3.447e-27,
656.51,2.625e-27,,2.625e-27,
656.56,1.976e-27,,1.976e-27,
656.61,1.472e-27,,1.472e-27,
656.66,1.084e-27,,1.084e-27,
656.71,7.888e-28,,7.888e-28,
656.76,5.677e-28,,5.677e-28,
656.81,4.040e-28,,4.040e-28,
656.86,2.842e-28,,2.842e-28,
656.91,1.976e-28,,1.976e-28,
656.96,1.359e-28,,1.359e-28,
657.01,9.233e-29,,9.233e-29,
657.06,6.203e-29,,6.203e-29,
657.11,4.119e-29,,4.119e-29,
657.16,2.704e-29,,2.704e-29,
657.21,1.755e-29,,1.755e-29,
657.26,1.126e-29,,1.126e-29,
657.31,7.136e-30,,7.136e-30,
657.36,4.472e-30,,4.472e-30,
657.41,2.771e-30,,2.771e-30,
657.46,1.697e-30,,1.697e-30,
657.51,1.027e-30,,1.027e-30,
657.56,6.145e-31,,6.145e-31,
657.61,3.634e-31,,3.634e-31,
657.66,2.124e-31,,2.124e-31,
657.71,1.227e-31,,1.227e-31,
657.76,7.011e-32,,7.011e-32,
657.81,3.958e-32,,3.958e-32,
657.86,2.209e-32,,2.209e-32,
657.91,1.218e-32,,1.218e-32,
657.96,6.642e-33,,6.642e-33,
658.01,3.579e-33,,3.579e-33,
658.06,1.907e-33,,1.907e-33,
658.11,1.004e-33,,1.004e-33,
658.16,5.225e-34,,5.225e-34,
658.21,2.688e-34,,2.688e-34,
658.26,1.367e-34,,1.367e-34,
658.31,6.869e-35,,6.869e-35,
658.36,3.412e-35,,3.412e-35,
658.41,1.676e-35,,1.676e-35,
658.46,8.134e-36,,8.134e-36,
658.51,3.902e-36,,3.902e-36,
658.56,1.851e-36,,1.851e-36,
658.61,8.674e-37,,8.674e-37,
658.66,4.019e-37,,4.019e-37,
658.71,1.841e-37,,1.841e-37,
658.76,8.332e-38,,8.332e-38,
658.81,3.728e-38,,3.728e-38,
658.86,1.649e-38,,1.649e-38,
658.91,7.209e-39,,7.209e-39,
