Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
216.72,9.803e+7,9.803e+7,,,,
216.77,1.307e+8,1.307e+8,,,,
216.82,1.567e+8,1.567e+8,,,,
216.87,1.693e+8,1.693e+8,,,,
216.92,1.653e+8,1.653e+8,,,,
216.97,1.478e+8,1.478e+8,,,,
217.02,1.247e+8,1.247e+8,,,,
217.07,1.074e+8,1.074e+8,,,,
217.12,1.060e+8,1.060e+8,,,,
217.17,1.270e+8,1.270e+8,,,,
217.22,1.701e+8,1.701e+8,,,,
217.27,2.273e+8,2.273e+8,,,,
217.32,2.842e+8,2.842e+8,,,,
217.37,3.240e+8,3.240e+8,,,,
217.42,3.337e+8,3.337e+8,,,,
217.47,3.097e+8,3.097e+8,,,,
217.52,2.586e+8,2.586e+8,,,,
217.57,1.944e+8,1.944e+8,,,,
217.62,1.314e+8,1.314e+8,,,,
217.67,7.993e+7,7.993e+7,,,,
217.72,4.374e+7,4.374e+7,,,,
217.77,2.153e+7,2.153e+7,,,,
217.82,9.534e+6,9.534e+6,,,,
217.87,3.798e+6,3.798e+6,,,,
217.92,1.361e+6,1.361e+6,9.550e-12,,,
217.97,4.389e+5,4.389e+5,1.472e-10,,,
218.02,1.273e+5,1.273e+5,2.045e-9,,,
218.07,3.322e+4,3.322e+4,2.560e-8,,,
218.12,7.799e+3,7.799e+3,2.889e-7,,,
218.17,1.647e+3,1.647e+3,2.938e-6,,,
218.22,3.129e+2,3.129e+2,2.693e-5,,,
218.27,5.348e+1,5.348e+1,2.225e-4,,,
218.32,8.224e+0,8.222e+0,1.656e-3,,,
218.37,1.148e+0,1.137e+0,1.111e-2,,,
218.42,2.087e-1,1.415e-1,6.721e-2,,,
218.47,3.823e-1,1.584e-2,3.664e-1,,,
218.52,1.803e+0,1.596e-3,1.801e+0,,,
218.57,7.980e+0,1.446e-4,7.980e+0,,,
218.62,3.188e+1,1.178e-5,3.188e+1,,,
218.67,1.149e+2,8.639e-7,1.149e+2,,,
218.72,3.734e+2,5.699e-8,3.734e+2,,,
218.77,1.096e+3,,1.096e+3,,,
218.82,2.902e+3,,2.902e+3,,,
218.87,6.949e+3,,6.949e+3,,,
218.92,1.505e+4,,1.505e+4,,,
218.97,2.954e+4,,2.954e+4,,,
219.02,5.263e+4,,5.263e+4,,,
219.07,8.539e+4,,8.539e+4,,,
219.12,1.266e+5,1.493e-8,1.266e+5,,,
219.17,1.723e+5,2.277e-7,1.723e+5,,,
219.22,2.167e+5,3.134e-6,2.167e+5,,,
219.27,2.533e+5,3.891e-5,2.533e+5,,,
219.32,2.772e+5,4.359e-4,2.772e+5,,,
219.37,2.858e+5,4.406e-3,2.858e+5,,,
219.42,2.789e+5,4.019e-2,2.789e+5,,,
219.47,2.580e+5,3.307e-1,2.580e+5,,,
219.52,2.258e+5,2.455e+0,2.258e+5,,,
219.57,1.864e+5,1.645e+1,1.864e+5,,,
219.62,1.443e+5,9.941e+1,1.442e+5,1.157e-20,,
219.67,1.045e+5,5.422e+2,1.039e+5,1.677e-19,,
219.72,7.206e+4,2.668e+3,6.939e+4,2.192e-18,,
219.77,5.455e+4,1.184e+4,4.270e+4,2.587e-17,,
219.82,7.155e+4,4.744e+4,2.411e+4,2.756e-16,,
219.87,1.839e+5,1.715e+5,1.244e+4,2.651e-15,,
219.92,5.650e+5,5.591e+5,5.853e+3,2.301e-14,,
219.97,1.648e+6,1.645e+6,2.504e+3,1.803e-13,,
220.02,4.368e+6,4.367e+6,9.720e+2,1.275e-12,,
220.07,1.046e+7,1.046e+7,3.420e+2,8.139e-12,,
220.12,2.261e+7,2.261e+7,1.089e+2,4.690e-11,,
220.17,4.408e+7,4.408e+7,3.136e+1,2.439e-10,,
220.22,7.755e+7,7.755e+7,8.162e+0,1.145e-9,,
220.27,1.231e+8,1.231e+8,1.918e+0,4.854e-9,,
220.32,1.763e+8,1.763e+8,4.071e-1,1.857e-8,,
220.37,2.279e+8,2.279e+8,7.795e-2,6.412e-8,,
220.42,2.660e+8,2.660e+8,1.347e-2,1.999e-7,,
220.47,2.808e+8,2.808e+8,2.099e-3,5.623e-7,,
220.52,2.691e+8,2.691e+8,2.950e-4,1.428e-6,,
220.57,2.372e+8,2.372e+8,3.740e-5,3.274e-6,,
220.62,1.990e+8,1.990e+8,4.275e-6,6.776e-6,,
220.67,1.721e+8,1.721e+8,4.406e-7,1.266e-5,,
220.72,1.718e+8,1.718e+8,4.094e-8,2.136e-5,,
220.77,2.068e+8,2.068e+8,3.430e-9,3.258e-5,,
220.82,2.757e+8,2.757e+8,2.588e-10,4.494e-5,,
220.87,3.655e+8,3.655e+8,1.763e-11,5.628e-5,,
220.92,4.538e+8,4.538e+8,,6.439e-5,,
220.97,5.151e+8,5.151e+8,,6.825e-5,,
221.02,5.300e+8,5.300e+8,,6.883e-5,,
221.07,4.930e+8,4.930e+8,,6.895e-5,,
221.12,4.142e+8,4.142e+8,,7.192e-5,,
221.17,3.141e+8,3.141e+8,,7.969e-5,,
221.22,2.151e+8,2.151e+8,,9.141e-5,,
221.27,1.329e+8,1.329e+8,,1.035e-4,,
221.32,7.417e+7,7.417e+7,,1.109e-4,,
221.37,3.736e+7,3.736e+7,,1.099e-4,,
221.42,1.699e+7,1.699e+7,,9.937e-5,,
221.47,6.971e+6,6.971e+6,,8.154e-5,,
221.52,2.583e+6,2.583e+6,,6.055e-5,,
221.57,8.637e+5,8.637e+5,,4.064e-5,,
221.62,2.607e+5,2.607e+5,,2.464e-5,,
221.67,7.106e+4,7.106e+4,,1.349e-5,,
221.72,1.748e+4,1.748e+4,,6.671e-6,,
221.77,3.882e+3,3.882e+3,,2.979e-6,,
221.82,7.781e+2,7.781e+2,,1.201e-6,,
221.87,1.408e+2,1.408e+2,,4.373e-7,,
221.92,2.300e+1,2.300e+1,,1.438e-7,,
221.97,3.391e+0,3.391e+0,,4.269e-8,,
222.02,4.514e-1,4.514e-1,,1.144e-8,,
222.07,5.423e-2,5.423e-2,,2.770e-9,,
222.12,5.882e-3,5.882e-3,,6.055e-10,,
222.17,5.759e-4,5.759e-4,,1.195e-10,,
222.22,5.090e-5,5.090e-5,,2.130e-11,,
222.27,4.061e-6,4.061e-6,,3.428e-12,,
222.32,2.925e-7,2.925e-7,,4.981e-13,,
222.37,6.537e-14,,,6.537e-14,,
222.42,7.746e-15,,,7.746e-15,,
222.47,8.287e-16,,,8.287e-16,,
222.52,8.007e-17,,,8.007e-17,,
222.57,6.985e-18,,,6.985e-18,,
222.62,5.503e-19,,,5.503e-19,,
222.67,3.915e-20,,,3.915e-20,,
222.97,3.984e-12,,3.984e-12,,,
223.02,5.331e-11,,5.331e-11,,,
223.07,6.458e-10,,6.458e-10,,,
223.12,7.084e-9,,7.084e-9,,,
223.17,7.035e-8,,7.035e-8,,,
223.22,6.325e-7,,6.325e-7,,,
223.27,5.149e-6,,5.149e-6,,,
223.32,3.795e-5,,3.795e-5,,,
223.37,2.533e-4,,2.533e-4,,,
223.42,1.530e-3,,1.530e-3,,,
223.47,8.372e-3,,8.372e-3,,,
223.52,4.147e-2,,4.147e-2,,,
223.57,1.860e-1,,1.860e-1,,,
223.62,7.550e-1,,7.550e-1,,,
223.67,2.776e+0,,2.776e+0,,,
223.72,9.238e+0,,9.238e+0,,,
223.77,2.784e+1,,2.784e+1,,,
223.82,7.596e+1,,7.596e+1,,,
223.87,1.876e+2,,1.876e+2,,,
223.92,4.197e+2,,4.197e+2,,,
223.97,8.498e+2,,8.498e+2,,,
224.02,1.558e+3,,1.558e+3,,,
224.07,2.587e+3,,2.587e+3,,,
224.12,3.888e+3,,3.888e+3,,,
224.17,5.290e+3,,5.290e+3,,,
224.22,6.518e+3,,6.518e+3,,,
224.27,7.271e+3,,7.271e+3,,,
224.32,7.344e+3,,7.344e+3,,,
224.37,6.715e+3,,6.715e+3,,,
224.42,5.560e+3,7.747e-10,5.560e+3,,,
224.47,4.168e+3,1.105e-8,4.168e+3,,,
224.52,2.829e+3,1.429e-7,2.829e+3,,,
224.57,1.738e+3,1.675e-6,1.738e+3,,,
224.62,9.670e+2,1.780e-5,9.670e+2,,,
224.67,4.871e+2,1.714e-4,4.871e+2,,,
224.72,2.222e+2,1.497e-3,2.222e+2,,,
224.77,9.175e+1,1.186e-2,9.174e+1,,,
224.82,3.438e+1,8.512e-2,3.430e+1,,,
224.87,1.216e+1,5.540e-1,1.161e+1,,,
224.92,6.827e+0,3.269e+0,3.558e+0,,,
224.97,1.847e+1,1.749e+1,9.874e-1,,,
225.02,8.504e+1,8.479e+1,2.481e-1,,,
225.07,3.728e+2,3.728e+2,5.643e-2,,,
225.12,1.486e+3,1.486e+3,1.162e-2,,,
225.17,5.369e+3,5.369e+3,2.167e-3,,,
225.22,1.759e+4,1.759e+4,3.658e-4,,,
225.27,5.224e+4,5.224e+4,5.592e-5,,,
225.32,1.407e+5,1.407e+5,7.739e-6,,,
225.37,3.433e+5,3.433e+5,9.698e-7,,,
225.42,7.598e+5,7.598e+5,1.100e-7,,,
225.47,1.524e+6,1.524e+6,1.130e-8,,,
225.52,2.773e+6,2.773e+6,1.051e-9,,,
225.57,4.575e+6,4.575e+6,8.850e-11,,,
225.62,6.849e+6,6.849e+6,6.747e-12,,,
225.67,9.321e+6,9.321e+6,4.657e-13,,,
225.72,1.159e+7,1.159e+7,,,,
225.77,1.336e+7,1.336e+7,,,,
225.82,1.484e+7,1.484e+7,,,,
225.87,1.718e+7,1.718e+7,,,,
225.92,2.301e+7,2.301e+7,,,,
225.97,3.665e+7,3.665e+7,,,,
226.02,6.373e+7,6.373e+7,,,,
226.07,1.098e+8,1.098e+8,,,,
226.12,1.775e+8,1.775e+8,,,,
226.17,2.636e+8,2.636e+8,,,,
226.22,3.567e+8,3.567e+8,,,,
226.27,4.385e+8,4.385e+8,,,,
226.32,4.896e+8,4.896e+8,,,,
226.37,4.973e+8,4.973e+8,,,,
226.42,4.618e+8,4.618e+8,,,,
226.47,3.976e+8,3.976e+8,,,,
226.52,3.299e+8,3.299e+8,,,,
226.57,2.863e+8,2.863e+8,,,,
226.62,2.893e+8,2.893e+8,,,,
226.67,3.498e+8,3.498e+8,,,,
226.72,4.629e+8,4.629e+8,,,,
226.77,6.069e+8,6.069e+8,,,,
226.82,7.467e+8,7.467e+8,,,,
226.87,8.436e+8,8.436e+8,,,,
226.92,8.684e+8,8.684e+8,,,,
226.97,8.124e+8,8.124e+8,,,,
227.02,6.900e+8,6.900e+8,,,,
227.07,5.319e+8,5.319e+8,,,,
227.12,3.721e+8,3.721e+8,,,,
227.17,2.362e+8,2.362e+8,,,,
227.22,1.361e+8,1.361e+8,,,,
227.27,7.116e+7,7.116e+7,,,,
227.32,3.377e+7,3.377e+7,,,,
227.37,1.454e+7,1.454e+7,,,,
227.42,5.681e+6,5.681e+6,,,,
227.47,2.015e+6,2.015e+6,,,,
227.52,6.483e+5,6.483e+5,,,,
227.57,1.893e+5,1.893e+5,,,,
227.62,5.018e+4,5.018e+4,,,,
227.67,1.207e+4,1.207e+4,,,,
227.72,2.634e+3,2.634e+3,,,,
227.77,5.217e+2,5.217e+2,,,,
227.82,9.378e+1,9.378e+1,,,,
227.87,1.530e+1,1.530e+1,,,,
227.92,2.265e+0,2.265e+0,,,,
227.97,3.042e-1,3.042e-1,,,,
228.02,3.709e-2,3.709e-2,,,,
228.07,4.103e-3,4.103e-3,,,,
228.12,4.120e-4,4.120e-4,,,,
