Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
220.42,4.128e-32,,,4.128e-32
220.47,2.938e-32,,,2.938e-32
220.52,1.887e-32,,,1.887e-32
220.57,1.093e-32,,,1.093e-32
220.62,5.714e-33,,,5.714e-33
220.67,2.698e-33,,,2.698e-33
220.72,1.153e-33,,,1.153e-33
220.77,4.508e-34,,,4.508e-34
220.82,1.694e-34,,,1.694e-34
220.87,8.038e-35,,,8.038e-35
220.92,8.969e-35,,,8.969e-35
220.97,1.894e-34,,,1.894e-34
221.02,4.331e-34,,,4.331e-34
221.07,9.226e-34,,,9.226e-34
221.12,1.786e-33,,,1.786e-33
221.17,3.128e-33,,,3.128e-33
221.22,4.948e-33,,,4.948e-33
221.27,7.071e-33,,,7.071e-33
221.32,9.124e-33,,,9.124e-33
221.37,1.063e-32,,,1.063e-32
221.42,1.119e-32,,,1.119e-32
221.47,1.063e-32,,,1.063e-32
221.52,9.123e-33,,,9.123e-33
221.57,7.070e-33,,,7.070e-33
221.62,4.948e-33,,,4.948e-33
221.67,3.127e-33,,,3.127e-33
221.72,1.785e-33,,,1.785e-33
221.77,9.199e-34,,,9.199e-34
221.82,4.287e-34,,,4.287e-34
221.87,1.824e-34,,,1.824e-34
221.92,7.782e-35,,,7.782e-35
221.97,5.814e-35,,,5.814e-35
222.02,1.225e-34,,,1.225e-34
222.07,3.480e-34,,,3.480e-34
222.12,9.401e-34,,,9.401e-34
222.17,2.307e-33,,,2.307e-33
222.22,5.120e-33,,,5.120e-33
222.27,1.027e-32,,,1.027e-32
222.32,1.864e-32,,,1.864e-32
222.37,3.060e-32,,,3.060e-32
222.42,4.548e-32,,,4.548e-32
222.47,6.135e-32,,,6.135e-32
222.52,7.548e-32,,,7.548e-32
222.57,8.577e-32,,,8.577e-32
222.62,9.237e-32,,,9.237e-32
222.67,9.887e-32,,,9.887e-32
222.72,1.118e-31,,,1.118e-31
222.77,1.385e-31,,,1.385e-31
222.82,1.828e-31,,,1.828e-31
222.87,2.425e-31,,,2.425e-31
222.92,3.074e-31,,,3.074e-31
222.97,3.621e-31,,,3.621e-31
223.02,3.915e-31,,,3.915e-31
223.07,3.870e-31,,,3.870e-31
223.12,3.498e-31,,,3.498e-31
223.17,2.898e-31,,,2.898e-31
223.22,2.209e-31,,,2.209e-31
223.27,1.557e-31,,,1.557e-31
223.32,1.020e-31,,,1.020e-31
223.37,6.249e-32,,,6.249e-32
223.42,3.602e-32,,,3.602e-32
223.47,1.990e-32,,,1.990e-32
223.52,1.134e-32,,,1.134e-32
223.57,8.246e-33,,,8.246e-33
223.62,9.482e-33,,,9.482e-33
223.67,1.457e-32,,,1.457e-32
223.72,2.319e-32,,,2.319e-32
