Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
494.01,1.880e-14,,,1.880e-14
494.06,2.856e-14,,,2.856e-14
494.11,4.252e-14,,,4.252e-14
494.16,6.202e-14,,,6.202e-14
494.21,8.863e-14,,,8.863e-14
494.26,1.241e-13,,,1.241e-13
494.31,1.703e-13,,,1.703e-13
494.36,2.289e-13,,,2.289e-13
494.41,3.014e-13,,,3.014e-13
494.46,3.890e-13,,,3.890e-13
494.51,4.918e-13,,,4.918e-13
494.56,6.093e-13,,,6.093e-13
494.61,7.397e-13,,,7.397e-13
494.66,8.797e-13,,,8.797e-13
494.71,1.025e-12,,,1.025e-12
494.76,1.171e-12,,,1.171e-12
494.81,1.310e-12,,,1.310e-12
494.86,1.435e-12,,,1.435e-12
494.91,1.542e-12,,,1.542e-12
494.96,1.622e-12,,,1.622e-12
495.01,1.673e-12,,,1.673e-12
495.06,1.690e-12,,,1.690e-12
495.11,1.673e-12,,,1.673e-12
495.16,1.622e-12,,,1.622e-12
495.21,1.542e-12,,,1.542e-12
495.26,1.435e-12,,,1.435e-12
495.31,1.310e-12,,,1.310e-12
495.36,1.171e-12,,,1.171e-12
495.41,1.025e-12,,,1.025e-12
495.46,8.797e-13,,,8.797e-13
495.51,7.397e-13,,,7.397e-13
495.56,6.093e-13,,,6.093e-13
495.61,4.918e-13,,,4.918e-13
495.66,3.890e-13,,,3.890e-13
495.71,3.014e-13,,,3.014e-13
495.76,2.289e-13,,,2.289e-13
495.81,1.703e-13,,,1.703e-13
495.86,1.241e-13,,,1.241e-13
495.91,8.863e-14,,,8.863e-14
495.96,6.202e-14,,,6.202e-14
496.01,4.252e-14,,,4.252e-14
496.06,2.856e-14,,,2.856e-14
496.11,1.880e-14,,,1.880e-14
496.16,1.213e-14,,,1.213e-14
496.21,7.662e-15,,,7.662e-15
496.26,4.744e-15,,,4.744e-15
496.31,2.878e-15,,,2.878e-15
496.36,1.710e-15,,,1.710e-15
496.41,9.961e-16,,,9.961e-16
496.46,5.684e-16,,,5.684e-16
496.51,3.178e-16,,,3.178e-16
496.56,1.741e-16,,,1.741e-16
496.61,9.344e-17,,,9.344e-17
496.66,4.914e-17,,,4.914e-17
496.71,2.532e-17,,,2.532e-17
496.76,1.278e-17,,,1.278e-17
496.81,6.324e-18,,,6.324e-18
496.86,3.065e-18,,,3.065e-18
496.91,1.456e-18,,,1.456e-18
496.96,6.773e-19,,,6.773e-19
497.01,3.088e-19,,,3.088e-19
497.06,1.379e-19,,,1.379e-19
497.11,6.038e-20,,,6.038e-20
497.16,1.318e-9,,1.318e-9,2.589e-20
497.21,4.311e-9,,4.311e-9,1.088e-20
497.26,1.383e-8,,1.383e-8,4.479e-21
497.31,4.346e-8,,4.346e-8,1.807e-21
497.36,1.339e-7,,1.339e-7,7.141e-22
497.41,4.045e-7,,4.045e-7,2.765e-22
497.46,1.197e-6,,1.197e-6,1.049e-22
497.51,3.475e-6,,3.475e-6,3.901e-23
497.56,9.884e-6,,9.884e-6,1.421e-23
497.61,2.756e-5,,2.756e-5,5.072e-24
497.66,7.532e-5,,7.532e-5,1.774e-24
497.71,2.018e-4,,2.018e-4,6.077e-25
497.76,5.298e-4,,5.298e-4,2.040e-25
497.81,1.364e-3,,1.364e-3,6.711e-26
497.86,3.441e-3,,3.441e-3,2.214e-26
497.91,8.509e-3,,8.509e-3,8.506e-27
497.96,2.063e-2,,2.063e-2,7.554e-27
498.01,4.901e-2,,4.901e-2,1.796e-26
498.06,1.142e-1,,1.142e-1,5.404e-26
498.11,2.606e-1,,2.606e-1,1.653e-25
498.16,5.833e-1,,5.833e-1,4.956e-25
498.21,1.279e+0,,1.279e+0,1.457e-24
498.26,2.751e+0,,2.751e+0,4.197e-24
498.31,5.798e+0,,5.798e+0,1.185e-23
498.36,1.198e+1,,1.198e+1,3.282e-23
498.41,2.426e+1,,2.426e+1,8.907e-23
498.46,4.815e+1,,4.815e+1,2.370e-22
498.51,9.368e+1,,9.368e+1,6.180e-22
498.56,1.787e+2,,1.787e+2,1.580e-21
498.61,3.340e+2,,3.340e+2,3.959e-21
498.66,6.120e+2,,6.120e+2,9.727e-21
498.71,1.099e+3,,1.099e+3,2.342e-20
498.76,1.935e+3,,1.935e+3,5.529e-20
498.81,3.340e+3,,3.340e+3,1.280e-19
498.86,5.650e+3,,5.650e+3,2.902e-19
498.91,9.369e+3,,9.369e+3,6.454e-19
498.96,1.523e+4,,1.523e+4,1.407e-18
499.01,2.426e+4,,2.426e+4,3.006e-18
499.06,3.789e+4,,3.789e+4,6.296e-18
499.11,5.799e+4,,5.799e+4,1.293e-17
499.16,8.701e+4,,8.701e+4,2.602e-17
499.21,1.280e+5,,1.280e+5,5.134e-17
499.26,1.845e+5,,1.845e+5,9.929e-17
499.31,2.607e+5,,2.607e+5,1.883e-16
499.36,3.611e+5,,3.611e+5,3.499e-16
499.41,4.903e+5,,4.903e+5,6.374e-16
499.46,6.525e+5,,6.525e+5,1.138e-15
499.51,8.513e+5,,8.513e+5,1.993e-15
499.56,1.089e+6,,1.089e+6,3.420e-15
499.61,1.364e+6,,1.364e+6,5.753e-15
499.66,1.676e+6,,1.676e+6,9.488e-15
499.71,2.019e+6,,2.019e+6,1.534e-14
499.76,2.383e+6,,2.383e+6,2.430e-14
499.81,2.757e+6,,2.757e+6,3.775e-14
499.86,3.127e+6,,3.127e+6,5.749e-14
499.91,3.477e+6,,3.477e+6,8.581e-14
499.96,3.789e+6,,3.789e+6,1.256e-13
500.01,4.047e+6,,4.047e+6,1.801e-13
500.06,4.238e+6,,4.238e+6,2.532e-13
500.11,4.349e+6,,4.349e+6,3.490e-13
500.16,4.375e+6,,4.375e+6,4.716e-13
500.21,4.315e+6,,4.315e+6,6.245e-13
500.26,4.171e+6,,4.171e+6,8.109e-13
500.31,3.951e+6,,3.951e+6,1.032e-12
500.36,3.670e+6,,3.670e+6,1.287e-12
500.41,3.341e+6,,3.341e+6,1.575e-12
500.46,2.982e+6,,2.982e+6,1.888e-12
500.51,2.608e+6,,2.608e+6,2.218e-12
500.56,2.237e+6,,2.237e+6,2.555e-12
500.61,1.882e+6,,1.882e+6,2.886e-12
500.66,1.553e+6,,1.553e+6,3.194e-12
500.71,1.260e+6,,1.260e+6,3.466e-12
500.76,1.006e+6,,1.006e+6,3.687e-12
500.81,7.944e+5,,7.944e+5,3.845e-12
500.86,6.266e+5,,6.266e+5,3.930e-12
500.91,5.020e+5,,5.020e+5,3.938e-12
500.96,4.202e+5,,4.202e+5,3.868e-12
501.01,3.808e+5,,3.808e+5,3.724e-12
501.06,3.845e+5,,3.845e+5,3.515e-12
501.11,4.331e+5,4.661e-9,4.331e+5,3.252e-12
501.16,5.296e+5,1.532e-8,5.296e+5,2.950e-12
501.21,6.784e+5,4.939e-8,6.784e+5,2.623e-12
501.26,8.844e+5,1.561e-7,8.844e+5,2.286e-12
501.31,1.153e+6,4.838e-7,1.153e+6,1.953e-12
501.36,1.487e+6,1.470e-6,1.487e+6,1.635e-12
501.41,1.889e+6,4.380e-6,1.889e+6,1.342e-12
501.46,2.359e+6,1.280e-5,2.359e+6,1.080e-12
501.51,2.891e+6,3.665e-5,2.891e+6,8.523e-13
501.56,3.476e+6,1.030e-4,3.476e+6,6.591e-13
501.61,4.097e+6,2.835e-4,4.097e+6,4.996e-13
501.66,4.735e+6,7.656e-4,4.735e+6,3.713e-13
501.71,5.365e+6,2.027e-3,5.365e+6,2.704e-13
501.76,5.960e+6,5.263e-3,5.960e+6,1.931e-13
501.81,6.491e+6,1.340e-2,6.491e+6,1.352e-13
501.86,6.930e+6,3.344e-2,6.930e+6,9.274e-14
501.91,7.253e+6,8.185e-2,7.253e+6,6.238e-14
501.96,7.443e+6,1.964e-1,7.443e+6,4.113e-14
502.01,7.487e+6,4.622e-1,7.487e+6,2.658e-14
502.06,7.384e+6,1.066e+0,7.384e+6,1.684e-14
502.11,7.139e+6,2.412e+0,7.139e+6,1.046e-14
502.16,6.767e+6,5.351e+0,6.767e+6,6.369e-15
502.21,6.288e+6,1.164e+1,6.288e+6,3.801e-15
502.26,5.728e+6,2.482e+1,5.728e+6,2.224e-15
502.31,5.115e+6,5.190e+1,5.115e+6,1.275e-15
502.36,4.479e+6,1.064e+2,4.479e+6,7.170e-16
502.41,3.844e+6,2.139e+2,3.844e+6,3.951e-16
502.46,3.235e+6,4.217e+2,3.235e+6,2.134e-16
502.51,2.669e+6,8.150e+2,2.668e+6,1.130e-16
502.56,2.159e+6,1.545e+3,2.158e+6,5.871e-17
502.61,1.714e+6,2.870e+3,1.711e+6,2.995e-17
502.66,1.335e+6,5.230e+3,1.330e+6,1.511e-17
502.71,1.023e+6,9.344e+3,1.013e+6,7.760e-18
502.76,7.733e+5,1.637e+4,7.569e+5,4.524e-18
502.81,5.825e+5,2.811e+4,5.543e+5,3.831e-18
502.86,4.453e+5,4.735e+4,3.980e+5,5.313e-18
502.91,3.583e+5,7.819e+4,2.801e+5,9.641e-18
502.96,3.199e+5,1.266e+5,1.933e+5,1.877e-17
503.01,3.318e+5,2.010e+5,1.308e+5,3.664e-17
503.06,3.996e+5,3.129e+5,8.671e+4,7.054e-17
503.11,5.340e+5,4.777e+5,5.638e+4,1.334e-16
503.16,7.509e+5,7.149e+5,3.593e+4,2.477e-16
503.21,1.072e+6,1.049e+6,2.245e+4,4.515e-16
503.26,1.523e+6,1.510e+6,1.375e+4,8.078e-16
503.31,2.138e+6,2.130e+6,8.260e+3,1.419e-15
503.36,2.952e+6,2.947e+6,4.863e+3,2.448e-15
503.41,4.000e+6,3.997e+6,2.807e+3,4.147e-15
503.46,5.318e+6,5.317e+6,1.588e+3,6.901e-15
503.51,6.935e+6,6.934e+6,8.811e+2,1.128e-14
503.56,8.867e+6,8.867e+6,4.791e+2,1.812e-14
503.61,1.112e+7,1.112e+7,2.554e+2,2.860e-14
503.66,1.367e+7,1.367e+7,1.335e+2,4.438e-14
503.71,1.648e+7,1.648e+7,6.841e+1,6.769e-14
503.76,1.948e+7,1.948e+7,3.437e+1,1.015e-13
503.81,2.257e+7,2.257e+7,1.692e+1,1.498e-13
503.86,2.565e+7,2.565e+7,8.171e+0,2.173e-13
503.91,2.858e+7,2.858e+7,3.867e+0,3.103e-13
503.96,3.123e+7,3.123e+7,1.794e+0,4.358e-13
504.01,3.345e+7,3.345e+7,8.163e-1,6.025e-13
504.06,3.514e+7,3.514e+7,3.640e-1,8.197e-13
504.11,3.619e+7,3.619e+7,1.592e-1,1.098e-12
504.16,3.655e+7,3.655e+7,6.821e-2,1.447e-12
504.21,3.619e+7,3.619e+7,2.866e-2,1.878e-12
504.26,3.514e+7,3.514e+7,1.181e-2,2.400e-12
504.31,3.345e+7,3.345e+7,4.768e-3,3.018e-12
504.36,3.123e+7,3.123e+7,1.888e-3,3.736e-12
504.41,2.858e+7,2.858e+7,7.327e-4,4.553e-12
504.46,2.565e+7,2.565e+7,2.788e-4,5.460e-12
504.51,2.257e+7,2.257e+7,1.040e-4,6.442e-12
504.56,1.948e+7,1.948e+7,3.803e-5,7.479e-12
504.61,1.648e+7,1.648e+7,1.363e-5,8.541e-12
504.66,1.367e+7,1.367e+7,4.792e-6,9.594e-12
504.71,1.112e+7,1.112e+7,1.651e-6,1.060e-11
504.76,8.867e+6,8.867e+6,5.578e-7,1.151e-11
504.81,6.934e+6,6.934e+6,1.847e-7,1.228e-11
504.86,5.317e+6,5.317e+6,5.997e-8,1.289e-11
504.91,3.997e+6,3.997e+6,1.909e-8,1.329e-11
504.96,2.947e+6,2.947e+6,5.955e-9,1.346e-11
505.01,2.130e+6,2.130e+6,1.822e-9,1.339e-11
505.06,1.510e+6,1.510e+6,,1.308e-11
505.11,1.049e+6,1.049e+6,,1.255e-11
505.16,7.149e+5,7.149e+5,,1.183e-11
505.21,4.777e+5,4.777e+5,,1.094e-11
505.26,3.129e+5,3.129e+5,,9.939e-12
505.31,2.010e+5,2.010e+5,,8.864e-12
505.36,1.266e+5,1.266e+5,,7.764e-12
505.41,7.819e+4,7.819e+4,,6.681e-12
505.46,4.735e+4,4.735e+4,,5.653e-12
505.51,2.811e+4,2.811e+4,,4.708e-12
505.56,1.637e+4,1.637e+4,,3.868e-12
505.61,9.344e+3,9.344e+3,,3.146e-12
505.66,5.230e+3,5.230e+3,,2.548e-12
505.71,2.870e+3,2.870e+3,,2.072e-12
505.76,1.545e+3,1.545e+3,,1.712e-12
505.81,8.150e+2,8.150e+2,,1.458e-12
505.86,4.217e+2,4.217e+2,,1.295e-12
505.91,2.139e+2,2.139e+2,,1.210e-12
505.96,1.064e+2,1.064e+2,,1.188e-12
506.01,5.190e+1,5.190e+1,,1.212e-12
