Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
328.56,1.173e-8,1.156e-8,1.669e-10,
328.61,5.311e-8,5.294e-8,1.631e-10,
328.66,2.318e-7,2.316e-7,1.521e-10,
328.71,9.683e-7,9.682e-7,1.355e-10,
328.76,3.866e-6,3.866e-6,1.152e-10,
328.81,1.475e-5,1.475e-5,9.353e-11,
328.86,5.377e-5,5.377e-5,7.250e-11,
328.91,1.873e-4,1.873e-4,5.365e-11,
328.96,6.232e-4,6.232e-4,3.791e-11,
329.01,1.981e-3,1.981e-3,2.557e-11,
329.06,6.019e-3,6.019e-3,1.647e-11,
329.11,1.747e-2,1.747e-2,1.013e-11,
329.16,4.845e-2,4.845e-2,5.944e-12,
329.21,1.284e-1,1.284e-1,3.332e-12,
329.26,3.251e-1,3.251e-1,1.783e-12,
329.31,7.866e-1,7.866e-1,9.108e-13,
329.36,1.819e+0,1.819e+0,4.443e-13,
329.41,4.018e+0,4.018e+0,2.069e-13,
329.46,8.483e+0,8.483e+0,9.201e-14,
329.51,1.711e+1,1.711e+1,3.909e-14,
329.56,3.299e+1,3.299e+1,1.593e-14,
329.61,6.078e+1,6.078e+1,6.372e-15,
329.66,1.070e+2,1.070e+2,2.810e-15,
329.71,1.800e+2,1.800e+2,1.953e-15,
329.76,2.895e+2,2.895e+2,2.595e-15,
329.81,4.448e+2,4.448e+2,4.563e-15,
329.86,6.532e+2,6.532e+2,8.256e-15,
329.91,9.168e+2,9.168e+2,1.446e-14,
329.96,1.230e+3,1.230e+3,2.424e-14,
330.01,1.577e+3,1.577e+3,3.885e-14,
330.06,1.932e+3,1.932e+3,5.946e-14,
330.11,2.263e+3,2.263e+3,8.694e-14,
330.16,2.533e+3,2.533e+3,1.214e-13,
330.21,2.710e+3,2.710e+3,1.620e-13,
330.26,2.771e+3,2.771e+3,2.065e-13,
330.31,2.708e+3,2.708e+3,2.514e-13,
330.36,2.530e+3,2.530e+3,2.925e-13,
330.41,2.260e+3,2.260e+3,3.249e-13,
330.46,1.929e+3,1.929e+3,3.448e-13,
330.51,1.574e+3,1.574e+3,3.496e-13,
330.56,1.228e+3,1.228e+3,3.386e-13,
330.61,9.153e+2,9.153e+2,3.132e-13,
330.66,6.524e+2,6.524e+2,2.768e-13,
330.71,4.444e+2,4.444e+2,2.337e-13,
330.76,2.894e+2,2.894e+2,1.885e-13,
330.81,1.802e+2,1.802e+2,1.452e-13,
330.86,1.072e+2,1.072e+2,1.070e-13,
330.91,6.099e+1,6.099e+1,7.540e-14,
330.96,3.317e+1,3.317e+1,5.109e-14,
331.01,1.724e+1,1.724e+1,3.373e-14,
331.06,8.567e+0,8.567e+0,2.259e-14,
331.11,4.069e+0,4.069e+0,1.691e-14,
331.16,1.848e+0,1.848e+0,1.620e-14,
331.21,8.019e-1,8.019e-1,2.044e-14,
331.26,3.327e-1,3.327e-1,3.013e-14,
331.31,1.320e-1,1.320e-1,4.613e-14,
331.36,5.003e-2,5.003e-2,6.947e-14,
331.41,1.813e-2,1.813e-2,1.009e-13,
331.46,6.280e-3,6.280e-3,1.403e-13,
331.51,2.079e-3,2.079e-3,1.868e-13,
331.56,6.581e-4,6.581e-4,2.376e-13,
331.61,1.991e-4,1.991e-4,2.888e-13,
331.66,5.757e-5,5.757e-5,3.355e-13,
331.71,1.591e-5,1.591e-5,3.724e-13,
331.76,4.203e-6,4.203e-6,3.951e-13,
331.81,1.061e-6,1.061e-6,4.005e-13,
331.86,2.561e-7,2.561e-7,3.881e-13,
331.91,5.907e-8,5.907e-8,3.595e-13,
331.96,1.302e-8,1.302e-8,3.185e-13,
332.01,2.744e-9,2.743e-9,2.702e-13,
332.06,5.526e-10,5.524e-10,2.202e-13,
332.11,1.065e-10,1.063e-10,1.735e-13,
332.16,1.968e-11,1.955e-11,1.342e-13,
332.21,3.541e-12,3.436e-12,1.052e-13,
332.26,5.601e-13,4.721e-13,8.805e-14,
332.31,8.331e-14,,8.331e-14,
332.36,9.071e-14,,9.071e-14,
332.41,1.092e-13,,1.092e-13,
332.46,1.370e-13,,1.370e-13,
332.51,1.714e-13,,1.714e-13,
332.56,2.089e-13,,2.089e-13,
332.61,2.454e-13,,2.454e-13,
332.66,2.766e-13,,2.766e-13,
332.71,2.983e-13,,2.983e-13,
332.76,3.078e-13,,3.078e-13,
332.81,3.036e-13,,3.036e-13,
332.86,2.862e-13,,2.862e-13,
332.91,2.580e-13,,2.580e-13,
332.96,2.223e-13,,2.223e-13,
333.01,1.831e-13,,1.831e-13,
333.06,1.441e-13,,1.441e-13,
333.11,1.084e-13,,1.084e-13,
333.16,7.798e-14,,7.798e-14,
333.21,5.360e-14,,5.360e-14,
333.26,3.522e-14,,3.522e-14,
333.31,2.212e-14,,2.212e-14,
333.36,1.328e-14,,1.328e-14,
333.41,7.622e-15,,7.622e-15,
333.46,4.181e-15,,4.181e-15,
333.51,2.192e-15,,2.192e-15,
333.56,1.099e-15,,1.099e-15,
333.61,5.262e-16,,5.262e-16,
333.66,2.410e-16,,2.410e-16,
333.71,1.055e-16,,1.055e-16,
333.76,4.412e-17,,4.412e-17,
333.81,1.764e-17,,1.764e-17,
333.86,6.743e-18,,6.743e-18,
333.91,2.464e-18,,2.464e-18,
333.96,8.603e-19,,8.603e-19,
334.01,2.872e-19,,2.872e-19,
334.06,9.163e-20,,9.163e-20,
334.11,2.794e-20,,2.794e-20,
334.16,8.146e-21,,8.146e-21,
334.21,2.270e-21,,2.270e-21,
334.26,6.045e-22,,6.045e-22,
334.31,1.539e-22,,1.539e-22,
334.36,3.745e-23,,3.745e-23,
334.41,8.711e-24,,8.711e-24,
334.46,1.937e-24,,1.937e-24,
334.51,4.116e-25,,4.116e-25,
334.56,8.361e-26,,8.361e-26,
334.61,1.623e-26,,1.623e-26,
334.66,3.013e-27,,3.013e-27,
