Wavelength (nm),Sum,Si I (3.4e-01),Si II (6.6e-01),Si III (3.0e-05)
786.35,1.691e+3,,1.691e+3,
786.4,1.340e+3,,1.340e+3,
786.45,1.054e+3,,1.054e+3,
786.5,8.216e+2,,8.216e+2,
786.55,6.355e+2,,6.355e+2,
786.6,4.877e+2,,4.877e+2,
786.65,3.712e+2,,3.712e+2,
786.7,2.803e+2,,2.803e+2,
786.75,2.099e+2,,2.099e+2,
786.8,1.560e+2,,1.560e+2,
786.85,1.150e+2,,1.150e+2,
786.9,8.404e+1,,8.404e+1,
786.95,6.094e+1,,6.094e+1,
787,4.384e+1,,4.384e+1,
787.05,3.128e+1,,3.128e+1,
787.1,2.214e+1,3.115e-10,2.214e+1,
787.15,1.555e+1,6.608e-10,1.555e+1,
787.2,1.083e+1,1.390e-9,1.083e+1,
787.25,7.482e+0,2.903e-9,7.482e+0,
787.31,4.750e+0,6.948e-9,4.750e+0,
787.36,3.224e+0,1.425e-8,3.224e+0,
787.41,2.171e+0,2.900e-8,2.171e+0,
787.46,1.450e+0,5.855e-8,1.450e+0,
787.51,9.604e-1,1.173e-7,9.604e-1,
787.56,6.311e-1,2.330e-7,6.311e-1,
787.61,4.114e-1,4.593e-7,4.114e-1,
787.66,2.660e-1,8.982e-7,2.660e-1,
787.71,1.706e-1,1.742e-6,1.706e-1,
787.76,1.086e-1,3.353e-6,1.086e-1,
787.81,6.855e-2,6.403e-6,6.854e-2,
787.86,4.294e-2,1.213e-5,4.293e-2,
787.91,2.671e-2,2.279e-5,2.668e-2,
787.96,1.652e-2,4.248e-5,1.648e-2,
788.01,1.022e-2,7.856e-5,1.014e-2,
788.06,6.408e-3,1.441e-4,6.263e-3,
788.11,4.218e-3,2.623e-4,3.955e-3,
788.16,3.139e-3,4.737e-4,2.666e-3,
788.21,2.918e-3,8.485e-4,2.069e-3,
788.26,3.507e-3,1.508e-3,1.999e-3,
788.31,5.063e-3,2.658e-3,2.405e-3,
788.36,7.985e-3,4.649e-3,3.337e-3,
788.41,1.301e-2,8.066e-3,4.943e-3,
788.46,2.137e-2,1.388e-2,7.490e-3,
788.51,3.510e-2,2.371e-2,1.139e-2,
788.56,5.743e-2,4.016e-2,1.727e-2,
788.61,9.349e-2,6.749e-2,2.600e-2,
788.66,1.514e-1,1.125e-1,3.887e-2,
788.71,2.438e-1,1.861e-1,5.766e-2,
788.76,3.902e-1,3.054e-1,8.486e-2,
788.81,6.210e-1,4.971e-1,1.239e-1,
788.86,9.822e-1,8.028e-1,1.794e-1,
788.91,1.544e+0,1.286e+0,2.578e-1,
788.96,2.412e+0,2.044e+0,3.676e-1,
789.01,3.743e+0,3.223e+0,5.198e-1,
789.06,5.770e+0,5.041e+0,7.292e-1,
789.11,8.837e+0,7.822e+0,1.015e+0,
789.16,1.344e+1,1.204e+1,1.401e+0,
789.21,2.031e+1,1.839e+1,1.919e+0,
789.26,3.047e+1,2.786e+1,2.608e+0,
789.31,4.539e+1,4.188e+1,3.515e+0,
