Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
612.6,1.543e+1,,1.543e+1,
612.65,1.316e+1,,1.316e+1,
612.7,1.108e+1,,1.108e+1,
612.75,9.203e+0,,9.203e+0,
612.8,7.543e+0,,7.543e+0,
612.85,6.101e+0,,6.101e+0,
612.9,4.869e+0,,4.869e+0,
612.95,3.834e+0,,3.834e+0,
613,2.979e+0,,2.979e+0,
613.05,2.284e+0,,2.284e+0,
613.1,1.728e+0,,1.728e+0,
613.15,1.290e+0,,1.290e+0,
613.2,9.503e-1,,9.503e-1,
613.25,6.907e-1,,6.907e-1,
613.3,4.954e-1,,4.954e-1,
613.35,3.506e-1,,3.506e-1,
613.4,2.448e-1,,2.448e-1,
613.45,1.687e-1,,1.687e-1,
613.5,1.147e-1,,1.147e-1,
613.55,7.696e-2,,7.696e-2,
613.6,5.095e-2,,5.095e-2,
613.65,3.328e-2,,3.328e-2,
613.7,2.145e-2,,2.145e-2,
613.75,1.364e-2,,1.364e-2,
613.8,8.563e-3,,8.563e-3,
613.85,5.303e-3,,5.303e-3,
613.9,3.240e-3,,3.240e-3,
613.95,1.954e-3,,1.954e-3,
614,1.162e-3,,1.162e-3,
614.05,6.825e-4,,6.825e-4,
614.1,3.954e-4,,3.954e-4,
614.15,2.260e-4,,2.260e-4,
614.2,1.275e-4,,1.275e-4,
614.25,7.094e-5,,7.094e-5,
614.3,3.896e-5,,3.896e-5,
614.35,2.111e-5,,2.111e-5,
614.4,1.129e-5,,1.129e-5,
614.45,5.956e-6,,5.956e-6,
614.5,3.101e-6,,3.101e-6,
614.55,1.593e-6,,1.593e-6,
614.6,8.075e-7,,8.075e-7,
614.65,4.039e-7,,4.039e-7,
614.7,1.993e-7,,1.993e-7,
614.75,9.708e-8,,9.708e-8,
614.8,4.665e-8,,4.665e-8,
614.85,2.212e-8,,2.212e-8,
614.9,1.035e-8,,1.035e-8,
614.95,4.779e-9,,4.779e-9,
615,2.177e-9,,2.177e-9,
615.05,9.786e-10,,9.786e-10,
615.1,4.341e-10,,4.341e-10,
615.15,1.900e-10,,1.900e-10,
615.2,8.205e-11,,8.205e-11,
615.25,3.497e-11,,3.497e-11,
615.3,1.470e-11,,1.470e-11,
615.35,6.101e-12,,6.101e-12,
615.4,2.498e-12,,2.498e-12,
615.45,1.009e-12,,1.009e-12,
615.5,4.023e-13,,4.023e-13,
615.55,1.582e-13,,1.582e-13,
615.6,6.141e-14,,6.141e-14,
615.65,2.352e-14,,2.352e-14,
615.7,8.889e-15,,8.889e-15,
620.9,1.042e-15,,1.042e-15,
620.95,2.708e-15,,2.708e-15,
621,6.944e-15,,6.944e-15,
621.05,1.758e-14,,1.758e-14,
621.1,4.395e-14,,4.395e-14,
621.15,1.085e-13,,1.085e-13,
621.2,2.643e-13,,2.643e-13,
621.25,6.358e-13,,6.358e-13,
621.3,1.510e-12,,1.510e-12,
621.35,3.540e-12,,3.540e-12,
621.4,8.195e-12,,8.195e-12,
621.45,1.873e-11,,1.873e-11,
621.5,4.226e-11,,4.226e-11,
621.55,9.413e-11,,9.413e-11,
621.6,2.070e-10,,2.070e-10,
621.65,4.494e-10,,4.494e-10,
621.7,9.633e-10,,9.633e-10,
621.75,2.039e-9,,2.039e-9,
621.8,4.259e-9,,4.259e-9,
621.85,8.785e-9,,8.785e-9,
621.9,1.789e-8,,1.789e-8,
621.95,3.597e-8,,3.597e-8,
622,7.139e-8,,7.139e-8,
622.05,1.399e-7,,1.399e-7,
622.1,2.707e-7,,2.707e-7,
622.15,5.170e-7,,5.170e-7,
622.2,9.748e-7,,9.748e-7,
622.25,1.815e-6,,1.815e-6,
622.3,3.336e-6,,3.336e-6,
622.35,6.053e-6,,6.053e-6,
622.4,1.084e-5,,1.084e-5,
622.45,1.918e-5,,1.918e-5,
622.5,3.349e-5,,3.349e-5,
622.55,5.773e-5,,5.773e-5,
622.6,9.826e-5,,9.826e-5,
622.65,1.651e-4,,1.651e-4,
622.7,2.739e-4,,2.739e-4,
622.75,4.486e-4,,4.486e-4,
622.8,7.253e-4,,7.253e-4,
622.85,1.158e-3,,1.158e-3,
622.9,1.825e-3,,1.825e-3,
622.95,2.839e-3,,2.839e-3,
623,4.362e-3,,4.362e-3,
623.05,6.615e-3,,6.615e-3,
623.1,9.904e-3,,9.904e-3,
623.15,1.464e-2,,1.464e-2,
623.2,2.137e-2,,2.137e-2,
623.25,3.078e-2,,3.078e-2,
623.3,4.379e-2,,4.379e-2,
623.35,6.150e-2,,6.150e-2,
623.4,8.526e-2,,8.526e-2,
623.45,1.167e-1,,1.167e-1,
623.5,1.577e-1,,1.577e-1,
623.55,2.104e-1,,2.104e-1,
623.6,2.772e-1,,2.772e-1,
623.65,3.604e-1,,3.604e-1,
623.7,4.628e-1,,4.628e-1,
623.75,5.865e-1,,5.865e-1,
623.8,7.340e-1,,7.340e-1,
623.85,9.068e-1,,9.068e-1,
623.9,1.106e+0,,1.106e+0,
623.95,1.332e+0,,1.332e+0,
624,1.583e+0,,1.583e+0,
624.05,1.859e+0,,1.859e+0,
624.1,2.154e+0,,2.154e+0,
624.15,2.464e+0,,2.464e+0,
624.2,2.783e+0,,2.783e+0,
624.25,3.103e+0,,3.103e+0,
624.3,3.416e+0,,3.416e+0,
624.35,3.713e+0,,3.713e+0,
624.4,3.984e+0,,3.984e+0,
624.45,4.220e+0,,4.220e+0,
624.5,4.414e+0,,4.414e+0,
624.55,4.557e+0,,4.557e+0,
624.6,4.646e+0,,4.646e+0,
624.65,4.676e+0,,4.676e+0,
624.7,4.646e+0,,4.646e+0,
624.75,4.557e+0,,4.557e+0,
624.8,4.414e+0,,4.414e+0,
624.85,4.220e+0,,4.220e+0,
624.9,3.984e+0,,3.984e+0,
624.95,3.713e+0,,3.713e+0,
625,3.416e+0,,3.416e+0,
625.05,3.103e+0,,3.103e+0,
625.1,2.783e+0,,2.783e+0,
625.15,2.464e+0,,2.464e+0,
625.2,2.154e+0,,2.154e+0,
625.25,1.859e+0,,1.859e+0,
625.3,1.583e+0,,1.583e+0,
625.35,1.332e+0,,1.332e+0,
625.4,1.106e+0,,1.106e+0,
625.45,9.068e-1,,9.068e-1,
625.5,7.340e-1,,7.340e-1,
625.55,5.865e-1,,5.865e-1,
625.6,4.628e-1,,4.628e-1,
625.65,3.604e-1,,3.604e-1,
625.7,2.772e-1,,2.772e-1,
625.75,2.104e-1,,2.104e-1,
625.8,1.577e-1,,1.577e-1,
625.85,1.167e-1,,1.167e-1,
625.9,8.526e-2,,8.526e-2,
625.95,6.150e-2,,6.150e-2,
626,4.379e-2,,4.379e-2,
626.05,3.078e-2,,3.078e-2,
626.1,2.137e-2,,2.137e-2,
626.15,1.464e-2,,1.464e-2,
626.2,9.904e-3,,9.904e-3,
626.25,6.615e-3,,6.615e-3,
626.3,4.362e-3,,4.362e-3,
626.35,2.839e-3,,2.839e-3,
626.4,1.825e-3,,1.825e-3,
626.45,1.158e-3,,1.158e-3,
626.5,7.253e-4,,7.253e-4,
626.55,4.486e-4,,4.486e-4,
626.6,2.739e-4,,2.739e-4,
