Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
393.5,2.390e+7,2.390e+7,,1.080e-5
393.7,2.216e+7,2.216e+7,,1.557e-5
393.9,2.074e+7,2.074e+7,,2.158e-5
394.1,1.979e+7,1.979e+7,,2.881e-5
394.2,1.953e+7,1.953e+7,,3.282e-5
394.4,1.943e+7,1.943e+7,,4.144e-5
394.6,1.988e+7,1.988e+7,,5.048e-5
394.8,2.080e+7,2.080e+7,,5.942e-5
394.9,2.140e+7,2.140e+7,,6.367e-5
395.1,2.280e+7,2.280e+7,,7.142e-5
395.3,2.435e+7,2.435e+7,,7.784e-5
395.5,2.593e+7,2.593e+7,,8.266e-5
395.7,2.741e+7,2.741e+7,,8.585e-5
395.8,2.808e+7,2.808e+7,,8.686e-5
396,2.919e+7,2.919e+7,,8.786e-5
396.2,2.991e+7,2.991e+7,,8.772e-5
396.4,3.014e+7,3.014e+7,,8.670e-5
396.6,2.979e+7,2.979e+7,,8.498e-5
396.7,2.938e+7,2.938e+7,,8.389e-5
396.9,2.810e+7,2.810e+7,,8.123e-5
397.1,2.623e+7,2.623e+7,,7.789e-5
397.3,2.388e+7,2.388e+7,,7.381e-5
397.5,2.122e+7,2.122e+7,,6.892e-5
397.6,1.984e+7,1.984e+7,,6.617e-5
397.8,1.711e+7,1.711e+7,,6.014e-5
398,1.462e+7,1.462e+7,,5.353e-5
398.2,1.255e+7,1.255e+7,,4.658e-5
398.3,1.172e+7,1.172e+7,,4.306e-5
398.5,1.053e+7,1.053e+7,,3.615e-5
398.7,9.995e+6,9.995e+6,,2.963e-5
398.9,1.008e+7,1.008e+7,,2.374e-5
399.1,1.069e+7,1.069e+7,,1.864e-5
399.2,1.116e+7,1.116e+7,,1.642e-5
399.4,1.232e+7,1.232e+7,,1.263e-5
399.6,1.362e+7,1.362e+7,,9.698e-6
399.8,1.489e+7,1.489e+7,,7.510e-6
400,1.597e+7,1.597e+7,,5.943e-6
400.1,1.641e+7,1.641e+7,,5.351e-6
400.3,1.700e+7,1.700e+7,,4.470e-6
400.5,1.720e+7,1.720e+7,,3.911e-6
400.7,1.702e+7,1.702e+7,,3.605e-6
400.8,1.680e+7,1.680e+7,,3.537e-6
401,1.616e+7,1.616e+7,,3.574e-6
401.2,1.538e+7,1.538e+7,,3.867e-6
401.4,1.461e+7,1.461e+7,,4.470e-6
401.6,1.405e+7,1.405e+7,,5.447e-6
401.7,1.390e+7,1.390e+7,,6.094e-6
401.9,1.402e+7,1.402e+7,,7.725e-6
402.1,1.491e+7,1.491e+7,,9.812e-6
402.3,1.681e+7,1.681e+7,,1.231e-5
402.5,2.000e+7,2.000e+7,,1.515e-5
402.6,2.216e+7,2.216e+7,,1.664e-5
402.8,2.771e+7,2.771e+7,,1.971e-5
403,3.501e+7,3.501e+7,,2.275e-5
403.2,4.400e+7,4.400e+7,,2.561e-5
403.3,4.907e+7,4.907e+7,,2.694e-5
403.5,6.008e+7,6.008e+7,,2.936e-5
403.7,7.175e+7,7.175e+7,,3.145e-5
403.9,8.334e+7,8.334e+7,,3.324e-5
404.1,9.405e+7,9.405e+7,,3.476e-5
404.2,9.884e+7,9.884e+7,,3.543e-5
404.4,1.069e+8,1.069e+8,,3.658e-5
404.6,1.127e+8,1.127e+8,,3.745e-5
404.8,1.161e+8,1.161e+8,,3.796e-5
405,1.175e+8,1.175e+8,,3.801e-5
405.1,1.175e+8,1.175e+8,,3.782e-5
405.3,1.168e+8,1.168e+8,,3.702e-5
405.5,1.154e+8,1.154e+8,,3.568e-5
405.7,1.140e+8,1.140e+8,,3.392e-5
405.8,1.133e+8,1.133e+8,,3.296e-5
406,1.120e+8,1.120e+8,,3.105e-5
406.2,1.108e+8,1.108e+8,,2.945e-5
406.4,1.091e+8,1.091e+8,,2.847e-5
406.6,1.066e+8,1.066e+8,,2.836e-5
406.7,1.050e+8,1.050e+8,,2.867e-5
406.9,1.004e+8,1.004e+8,,3.001e-5
407.1,9.430e+7,9.430e+7,,3.218e-5
407.3,8.660e+7,8.660e+7,,3.489e-5
407.5,7.760e+7,7.760e+7,,3.771e-5
407.6,7.274e+7,7.274e+7,,3.902e-5
407.8,6.265e+7,6.265e+7,,4.118e-5
408,5.250e+7,5.250e+7,,4.242e-5
408.2,4.279e+7,4.279e+7,,4.248e-5
408.3,3.823e+7,3.823e+7,,4.204e-5
408.5,2.990e+7,2.990e+7,,4.028e-5
408.7,2.279e+7,2.279e+7,,3.753e-5
408.9,1.696e+7,1.696e+7,,3.413e-5
409.1,1.238e+7,1.238e+7,,3.053e-5
409.2,1.053e+7,1.053e+7,,2.881e-5
409.4,7.624e+6,7.624e+6,,2.588e-5
409.6,5.651e+6,5.651e+6,,2.403e-5
409.8,4.458e+6,4.458e+6,,2.376e-5
410,3.909e+6,3.909e+6,,2.551e-5
410.1,3.840e+6,3.840e+6,,2.727e-5
410.3,4.050e+6,4.050e+6,,3.275e-5
410.5,4.656e+6,4.656e+6,,4.100e-5
410.7,5.589e+6,5.589e+6,,5.207e-5
410.8,6.159e+6,6.159e+6,,5.863e-5
411,7.469e+6,7.469e+6,,7.356e-5
411.2,8.965e+6,8.965e+6,,9.049e-5
411.4,1.060e+7,1.060e+7,,1.087e-4
411.6,1.235e+7,1.235e+7,,1.275e-4
411.7,1.326e+7,1.326e+7,,1.367e-4
411.9,1.514e+7,1.514e+7,,1.547e-4
412.1,1.708e+7,1.708e+7,,1.714e-4
412.3,1.910e+7,1.910e+7,,1.862e-4
412.5,2.118e+7,2.118e+7,,1.990e-4
412.6,2.224e+7,2.224e+7,,2.046e-4
412.8,2.438e+7,2.438e+7,,2.140e-4
413,2.651e+7,2.651e+7,,2.211e-4
413.2,2.857e+7,2.857e+7,,2.255e-4
413.3,2.954e+7,2.954e+7,,2.267e-4
413.5,3.132e+7,3.132e+7,,2.268e-4
413.7,3.279e+7,3.279e+7,,2.238e-4
413.9,3.385e+7,3.385e+7,,2.179e-4
414.1,3.442e+7,3.442e+7,,2.096e-4
414.2,3.451e+7,3.451e+7,,2.048e-4
414.4,3.427e+7,3.427e+7,,1.949e-4
414.6,3.348e+7,3.348e+7,,1.857e-4
414.8,3.217e+7,3.217e+7,,1.789e-4
415,3.041e+7,3.041e+7,,1.757e-4
415.1,2.939e+7,2.939e+7,,1.757e-4
415.3,2.713e+7,2.713e+7,,1.791e-4
415.5,2.468e+7,2.468e+7,,1.866e-4
415.7,2.216e+7,2.216e+7,,1.971e-4
415.8,2.093e+7,2.093e+7,,2.028e-4
416,1.857e+7,1.857e+7,,2.139e-4
416.2,1.648e+7,1.648e+7,,2.228e-4
416.4,1.477e+7,1.477e+7,,2.273e-4
416.6,1.355e+7,1.355e+7,,2.260e-4
416.7,1.316e+7,1.316e+7,,2.230e-4
416.9,1.283e+7,1.283e+7,,2.120e-4
417.1,1.315e+7,1.315e+7,,1.953e-4
417.3,1.412e+7,1.412e+7,,1.740e-4
417.5,1.572e+7,1.572e+7,,1.499e-4
417.6,1.674e+7,1.674e+7,,1.373e-4
417.8,1.915e+7,1.915e+7,,1.124e-4
418,2.198e+7,2.198e+7,,8.905e-5
418.2,2.510e+7,2.510e+7,,6.825e-5
418.3,2.673e+7,2.673e+7,,5.905e-5
418.5,3.000e+7,3.000e+7,,4.322e-5
418.7,3.315e+7,3.315e+7,,3.080e-5
418.9,3.602e+7,3.602e+7,,2.150e-5
419.1,3.842e+7,3.842e+7,,1.487e-5
419.2,3.939e+7,3.939e+7,,1.241e-5
419.4,4.080e+7,4.080e+7,,8.855e-6
419.6,4.143e+7,4.143e+7,,6.793e-6
419.8,4.124e+7,4.124e+7,,5.868e-6
420,4.028e+7,4.028e+7,,5.826e-6
420.1,3.954e+7,3.954e+7,,6.080e-6
420.3,3.766e+7,3.766e+7,,7.056e-6
420.5,3.543e+7,3.543e+7,,8.582e-6
420.7,3.311e+7,3.311e+7,,1.058e-5
420.9,3.095e+7,3.095e+7,,1.295e-5
421,3.000e+7,3.000e+7,,1.425e-5
421.2,2.847e+7,2.847e+7,,1.699e-5
421.4,2.752e+7,2.752e+7,,1.981e-5
421.6,2.718e+7,2.718e+7,,2.253e-5
421.7,2.724e+7,2.724e+7,,2.382e-5
421.9,2.772e+7,2.772e+7,,2.616e-5
422.1,2.859e+7,2.859e+7,,2.811e-5
422.3,2.969e+7,2.969e+7,,2.964e-5
422.5,3.087e+7,3.087e+7,,3.074e-5
422.6,3.145e+7,3.145e+7,,3.116e-5
422.8,3.252e+7,3.252e+7,,3.175e-5
423,3.344e+7,3.344e+7,,3.211e-5
423.2,3.419e+7,3.419e+7,,3.231e-5
423.4,3.482e+7,3.482e+7,,3.239e-5
423.5,3.511e+7,3.511e+7,,3.239e-5
423.7,3.569e+7,3.569e+7,,3.231e-5
423.9,3.637e+7,3.637e+7,,3.206e-5
424.1,3.722e+7,3.722e+7,,3.158e-5
424.2,3.774e+7,3.774e+7,,3.124e-5
424.4,3.899e+7,3.899e+7,,3.033e-5
424.6,4.054e+7,4.054e+7,,2.910e-5
424.8,4.240e+7,4.240e+7,,2.755e-5
425,4.454e+7,4.454e+7,,2.576e-5
425.1,4.569e+7,4.569e+7,,2.479e-5
425.3,4.814e+7,4.814e+7,,2.279e-5
425.5,5.070e+7,5.070e+7,,2.079e-5
425.7,5.327e+7,5.327e+7,,1.891e-5
425.9,5.572e+7,5.572e+7,,1.724e-5
426,5.686e+7,5.686e+7,,1.652e-5
426.2,5.885e+7,5.885e+7,,1.531e-5
426.4,6.032e+7,6.032e+7,,1.445e-5
426.6,6.110e+7,6.110e+7,,1.396e-5
426.7,6.117e+7,6.117e+7,,1.385e-5
426.9,6.063e+7,6.063e+7,,1.388e-5
427.1,5.911e+7,5.911e+7,,1.424e-5
427.3,5.663e+7,5.663e+7,,1.489e-5
427.5,5.334e+7,5.334e+7,,1.582e-5
427.6,5.144e+7,5.144e+7,,1.638e-5
427.8,4.735e+7,4.735e+7,,1.771e-5
428,4.313e+7,4.313e+7,,1.930e-5
428.2,3.914e+7,3.914e+7,,2.115e-5
428.4,3.573e+7,3.573e+7,,2.329e-5
428.5,3.433e+7,3.433e+7,,2.446e-5
428.7,3.230e+7,3.230e+7,,2.700e-5
428.9,3.142e+7,3.142e+7,,2.979e-5
429.1,3.171e+7,3.171e+7,,3.275e-5
429.2,3.229e+7,3.229e+7,,3.427e-5
429.4,3.421e+7,3.421e+7,,3.731e-5
429.6,3.698e+7,3.698e+7,,4.023e-5
429.8,4.033e+7,4.033e+7,,4.283e-5
430,4.395e+7,4.395e+7,,4.491e-5
430.1,4.578e+7,4.578e+7,,4.570e-5
430.3,4.929e+7,4.929e+7,,4.666e-5
430.5,5.243e+7,5.243e+7,,4.666e-5
430.7,5.507e+7,5.507e+7,,4.564e-5
430.9,5.714e+7,5.714e+7,,4.359e-5
431,5.796e+7,5.796e+7,,4.221e-5
