Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
240.428,5.767e-55,,5.767e-55,1.406e-114
240.433,2.276e-56,,2.276e-56,1.406e-114
240.438,8.240e-58,,8.240e-58,1.406e-114
240.443,2.726e-59,,2.726e-59,1.406e-114
240.448,8.304e-61,,8.304e-61,1.406e-114
250.48,1.162e-60,,1.162e-60,1.847e-114
250.486,7.341e-59,,7.341e-59,1.847e-114
250.491,1.946e-57,,1.946e-57,1.847e-114
250.496,4.766e-56,,4.766e-56,1.847e-114
250.501,1.078e-54,,1.078e-54,1.848e-114
250.506,2.255e-53,,2.255e-53,1.848e-114
250.511,4.357e-52,,4.357e-52,1.848e-114
250.517,1.371e-50,,1.371e-50,1.848e-114
250.522,2.227e-49,,2.227e-49,1.849e-114
250.527,3.343e-48,,3.343e-48,1.849e-114
250.532,4.637e-47,,4.637e-47,1.849e-114
250.537,5.944e-46,,5.944e-46,1.849e-114
250.542,7.043e-45,,7.043e-45,1.849e-114
250.548,1.233e-43,,1.233e-43,1.850e-114
250.553,1.229e-42,,1.229e-42,1.850e-114
250.558,1.131e-41,,1.131e-41,1.850e-114
250.563,9.633e-41,,9.633e-41,1.850e-114
250.568,7.581e-40,,7.581e-40,1.851e-114
250.573,5.516e-39,,5.516e-39,1.851e-114
250.578,3.710e-38,,3.710e-38,1.851e-114
250.584,3.294e-37,,3.294e-37,1.851e-114
250.589,1.865e-36,,1.865e-36,1.851e-114
250.594,9.760e-36,,9.760e-36,1.852e-114
250.599,4.723e-35,,4.723e-35,1.852e-114
250.604,2.114e-34,,2.114e-34,1.852e-114
250.609,8.747e-34,,8.747e-34,1.852e-114
250.615,4.337e-33,,4.337e-33,1.853e-114
250.62,1.511e-32,,1.511e-32,1.853e-114
250.625,4.870e-32,,4.870e-32,1.853e-114
250.63,1.452e-31,,1.452e-31,1.853e-114
250.635,4.001e-31,,4.001e-31,1.854e-114
250.64,1.020e-30,,1.020e-30,1.854e-114
250.646,2.830e-30,,2.830e-30,1.854e-114
250.651,6.077e-30,,6.077e-30,1.854e-114
250.656,1.207e-29,,1.207e-29,1.854e-114
250.661,2.219e-29,,2.219e-29,1.855e-114
250.666,3.771e-29,,3.771e-29,1.855e-114
250.671,5.930e-29,,5.930e-29,1.855e-114
250.677,9.209e-29,,9.209e-29,1.855e-114
250.682,1.220e-28,,1.220e-28,1.856e-114
250.687,1.495e-28,,1.495e-28,1.856e-114
250.692,1.694e-28,,1.694e-28,1.856e-114
250.697,1.777e-28,,1.777e-28,1.856e-114
250.702,1.723e-28,,1.723e-28,1.856e-114
250.707,1.546e-28,,1.546e-28,1.857e-114
250.713,1.224e-28,,1.224e-28,1.857e-114
250.718,9.253e-29,,9.253e-29,1.857e-114
250.723,6.468e-29,,6.468e-29,1.857e-114
250.728,4.182e-29,,4.182e-29,1.858e-114
250.733,2.501e-29,,2.501e-29,1.858e-114
250.738,1.383e-29,,1.383e-29,1.858e-114
250.744,6.128e-30,,6.128e-30,1.858e-114
250.749,2.854e-30,,2.854e-30,1.859e-114
250.754,1.229e-30,,1.229e-30,1.859e-114
250.759,4.894e-31,,4.894e-31,1.859e-114
250.764,1.802e-31,,1.802e-31,1.859e-114
250.769,6.138e-32,,6.138e-32,1.859e-114
250.775,1.520e-32,,1.520e-32,1.860e-114
250.78,4.366e-33,,4.366e-33,1.860e-114
250.785,1.201e-33,,1.201e-33,1.860e-114
250.79,4.839e-34,,4.839e-34,1.860e-114
250.795,8.608e-34,,8.608e-34,1.861e-114
250.8,2.930e-33,,2.930e-33,1.861e-114
250.806,1.247e-32,,1.247e-32,1.861e-114
250.811,3.836e-32,,3.836e-32,1.861e-114
250.816,1.091e-31,,1.091e-31,1.861e-114
250.821,2.865e-31,,2.865e-31,1.862e-114
250.826,6.953e-31,,6.953e-31,1.862e-114
250.831,1.560e-30,,1.560e-30,1.862e-114
250.837,3.706e-30,,3.706e-30,1.862e-114
250.842,6.991e-30,,6.991e-30,1.863e-114
250.847,1.219e-29,,1.219e-29,1.863e-114
250.852,1.965e-29,,1.965e-29,1.863e-114
250.857,2.928e-29,,2.928e-29,1.863e-114
250.862,4.033e-29,,4.033e-29,1.863e-114
250.867,5.138e-29,,5.138e-29,1.864e-114
250.873,6.196e-29,,6.196e-29,1.864e-114
250.878,6.646e-29,,6.646e-29,1.864e-114
250.883,6.595e-29,,6.595e-29,1.864e-114
250.888,6.053e-29,,6.053e-29,1.865e-114
250.893,5.140e-29,,5.140e-29,1.865e-114
250.898,4.039e-29,,4.039e-29,1.865e-114
250.904,2.731e-29,,2.731e-29,1.865e-114
250.909,1.810e-29,,1.810e-29,1.866e-114
250.914,1.111e-29,,1.111e-29,1.866e-114
250.919,6.309e-30,,6.309e-30,1.866e-114
250.924,3.318e-30,,3.318e-30,1.866e-114
250.929,1.616e-30,,1.616e-30,1.866e-114
250.935,6.162e-31,,6.162e-31,1.867e-114
250.94,2.536e-31,,2.536e-31,1.867e-114
250.945,9.668e-32,,9.668e-32,1.867e-114
250.95,3.414e-32,,3.414e-32,1.867e-114
250.955,1.117e-32,,1.117e-32,1.868e-114
250.96,3.386e-33,,3.386e-33,1.868e-114
250.966,7.311e-34,,7.311e-34,1.868e-114
250.971,1.873e-34,,1.873e-34,1.868e-114
250.976,4.448e-35,,4.448e-35,1.868e-114
250.981,9.784e-36,,9.784e-36,1.869e-114
250.986,1.994e-36,,1.994e-36,1.869e-114
250.991,3.762e-37,,3.762e-37,1.869e-114
250.996,6.577e-38,,6.577e-38,1.869e-114
251.002,7.330e-39,,7.330e-39,1.870e-114
251.007,1.082e-39,,1.082e-39,1.870e-114
251.012,1.479e-40,,1.479e-40,1.870e-114
251.017,1.871e-41,,1.871e-41,1.870e-114
251.022,2.191e-42,,2.191e-42,1.870e-114
251.027,2.375e-43,,2.375e-43,1.871e-114
251.033,1.490e-44,,1.490e-44,1.871e-114
251.038,1.361e-45,,1.361e-45,1.871e-114
251.043,1.151e-46,,1.151e-46,1.871e-114
251.048,8.996e-48,,8.996e-48,1.872e-114
251.053,6.506e-49,,6.506e-49,1.872e-114
251.058,4.351e-50,,4.351e-50,1.872e-114
251.064,1.527e-51,,1.527e-51,1.872e-114
251.069,8.598e-53,,8.598e-53,1.873e-114
251.074,4.474e-54,,4.474e-54,1.873e-114
251.079,2.152e-55,,2.152e-55,1.873e-114
251.084,9.570e-57,,9.570e-57,1.873e-114
251.089,3.933e-58,,3.933e-58,1.873e-114
251.095,7.694e-60,,7.694e-60,1.874e-114
251.1,2.544e-61,,2.544e-61,1.874e-114
253.732,8.557e-61,,8.557e-61,1.989e-114
253.737,2.381e-59,,2.381e-59,1.990e-114
253.742,6.133e-58,,6.133e-58,1.990e-114
253.747,1.462e-56,,1.462e-56,1.990e-114
253.752,3.224e-55,,3.224e-55,1.990e-114
253.757,6.579e-54,,6.579e-54,1.990e-114
253.763,2.216e-52,,2.216e-52,1.991e-114
253.768,3.813e-51,,3.813e-51,1.991e-114
253.773,6.072e-50,,6.072e-50,1.991e-114
253.778,8.948e-49,,8.948e-49,1.991e-114
253.783,1.220e-47,,1.220e-47,1.992e-114
253.788,1.540e-46,,1.540e-46,1.992e-114
253.793,1.798e-45,,1.798e-45,1.992e-114
253.799,3.100e-44,,3.100e-44,1.992e-114
253.804,3.052e-43,,3.052e-43,1.993e-114
253.809,2.781e-42,,2.781e-42,1.993e-114
253.814,2.345e-41,,2.345e-41,1.993e-114
253.819,1.830e-40,,1.830e-40,1.993e-114
253.824,1.322e-39,,1.322e-39,1.993e-114
253.83,1.279e-38,,1.279e-38,1.994e-114
253.835,7.791e-38,,7.791e-38,1.994e-114
253.84,4.390e-37,,4.390e-37,1.994e-114
253.845,2.289e-36,,2.289e-36,1.994e-114
253.85,1.105e-35,,1.105e-35,1.995e-114
253.855,4.932e-35,,4.932e-35,1.995e-114
253.861,2.682e-34,,2.682e-34,1.995e-114
253.866,1.010e-33,,1.010e-33,1.995e-114
253.871,3.518e-33,,3.518e-33,1.995e-114
253.876,1.134e-32,,1.134e-32,1.996e-114
253.881,3.385e-32,,3.385e-32,1.996e-114
253.886,9.346e-32,,9.346e-32,1.996e-114
253.892,2.854e-31,,2.854e-31,1.996e-114
253.897,6.645e-31,,6.645e-31,1.997e-114
253.902,1.432e-30,,1.432e-30,1.997e-114
253.907,2.855e-30,,2.855e-30,1.997e-114
253.912,5.267e-30,,5.267e-30,1.997e-114
253.917,8.992e-30,,8.992e-30,1.998e-114
253.922,1.421e-29,,1.421e-29,1.998e-114
253.928,2.221e-29,,2.221e-29,1.998e-114
253.933,2.958e-29,,2.958e-29,1.998e-114
253.938,3.647e-29,,3.647e-29,1.998e-114
253.943,4.161e-29,,4.161e-29,1.999e-114
253.948,4.393e-29,,4.393e-29,1.999e-114
253.953,4.292e-29,,4.292e-29,1.999e-114
253.959,3.768e-29,,3.768e-29,1.999e-114
253.964,3.104e-29,,3.104e-29,2.000e-114
253.969,2.366e-29,,2.366e-29,2.000e-114
253.974,1.669e-29,,1.669e-29,2.000e-114
253.979,1.090e-29,,1.090e-29,2.000e-114
253.984,6.584e-30,,6.584e-30,2.000e-114
253.99,3.247e-30,,3.247e-30,2.001e-114
253.995,1.654e-30,,1.654e-30,2.001e-114
254,7.796e-31,,7.796e-31,2.001e-114
254.005,3.401e-31,,3.401e-31,2.001e-114
254.01,1.373e-31,,1.373e-31,2.002e-114
254.015,5.129e-32,,5.129e-32,2.002e-114
254.021,1.420e-32,,1.420e-32,2.002e-114
254.026,4.474e-33,,4.474e-33,2.002e-114
254.031,1.304e-33,,1.304e-33,2.003e-114
254.036,3.518e-34,,3.518e-34,2.003e-114
254.041,8.781e-35,,8.781e-35,2.003e-114
254.046,2.028e-35,,2.028e-35,2.003e-114
254.051,4.336e-36,,4.336e-36,2.003e-114
254.057,6.146e-37,,6.146e-37,2.004e-114
254.062,1.108e-37,,1.108e-37,2.004e-114
254.067,1.848e-38,,1.848e-38,2.004e-114
254.072,2.852e-39,,2.852e-39,2.004e-114
254.077,4.074e-40,,4.074e-40,2.005e-114
254.082,5.385e-41,,5.385e-41,2.005e-114
254.088,4.287e-42,,4.287e-42,2.005e-114
254.093,4.778e-43,,4.778e-43,2.005e-114
254.098,4.928e-44,,4.928e-44,2.005e-114
254.103,4.703e-45,,4.703e-45,2.006e-114
254.108,4.154e-46,,4.154e-46,2.006e-114
254.113,3.395e-47,,3.395e-47,2.006e-114
254.119,1.518e-48,,1.518e-48,2.006e-114
254.124,1.046e-49,,1.046e-49,2.007e-114
254.129,6.673e-51,,6.673e-51,2.007e-114
254.134,3.939e-52,,3.939e-52,2.007e-114
254.139,2.151e-53,,2.151e-53,2.007e-114
254.144,1.087e-54,,1.087e-54,2.007e-114
254.15,2.730e-56,,2.730e-56,2.008e-114
254.155,1.164e-57,,1.164e-57,2.008e-114
254.16,4.589e-59,,4.589e-59,2.008e-114
255.073,1.198e-60,,1.198e-60,2.048e-114
255.078,3.221e-59,,3.221e-59,2.048e-114
255.084,1.511e-57,,1.511e-57,2.049e-114
255.089,3.430e-56,,3.430e-56,2.049e-114
255.094,7.212e-55,,7.212e-55,2.049e-114
255.099,1.404e-53,,1.404e-53,2.049e-114
255.104,2.533e-52,,2.533e-52,2.050e-114
255.109,4.231e-51,,4.231e-51,2.050e-114
255.115,1.121e-49,,1.121e-49,2.050e-114
255.12,1.582e-48,,1.582e-48,2.050e-114
255.125,2.067e-47,,2.067e-47,2.051e-114
255.13,2.502e-46,,2.502e-46,2.051e-114
255.135,2.804e-45,,2.804e-45,2.051e-114
255.14,2.911e-44,,2.911e-44,2.051e-114
255.146,4.360e-43,,4.360e-43,2.051e-114
255.151,3.823e-42,,3.823e-42,2.052e-114
