Wavelength (nm),Sum,Al I (1.3e-01),Al II (8.7e-01),Al III (2.5e-05)
227.97,6.084e-1,6.084e-1,,
228.02,7.418e-2,7.418e-2,,
228.07,8.207e-3,8.207e-3,,
228.12,8.240e-4,8.240e-4,,
228.17,7.508e-5,7.508e-5,,
228.22,6.208e-6,6.208e-6,,
228.27,4.658e-7,4.658e-7,,
228.57,3.766e-20,,,3.766e-20
228.62,4.794e-19,,,4.794e-19
228.67,5.552e-18,,,5.552e-18
228.72,5.849e-17,,,5.849e-17
228.77,5.606e-16,,,5.606e-16
228.82,4.889e-15,,,4.889e-15
228.87,3.878e-14,,,3.878e-14
228.92,2.799e-13,,,2.799e-13
228.97,1.838e-12,,,1.838e-12
229.02,1.098e-11,,,1.098e-11
229.07,5.966e-11,,,5.966e-11
229.12,2.950e-10,,,2.950e-10
229.17,1.327e-9,,,1.327e-9
229.22,5.430e-9,,,5.430e-9
229.27,2.021e-8,,,2.021e-8
229.32,6.846e-8,,,6.846e-8
229.37,2.110e-7,,,2.110e-7
229.42,5.914e-7,,,5.914e-7
229.47,1.508e-6,,,1.508e-6
229.52,3.499e-6,,,3.499e-6
229.57,7.387e-6,,,7.387e-6
229.62,1.419e-5,,,1.419e-5
229.67,2.478e-5,,,2.478e-5
229.72,3.939e-5,,,3.939e-5
229.77,5.696e-5,,,5.696e-5
229.82,7.493e-5,,,7.493e-5
229.87,8.968e-5,,,8.968e-5
229.92,9.765e-5,,,9.765e-5
229.97,9.673e-5,,,9.673e-5
230.02,8.718e-5,,,8.718e-5
230.07,7.147e-5,,,7.147e-5
230.12,5.331e-5,,,5.331e-5
230.17,3.618e-5,,,3.618e-5
230.22,2.233e-5,,,2.233e-5
230.27,1.254e-5,,,1.254e-5
230.32,6.410e-6,,,6.410e-6
230.37,2.980e-6,,,2.980e-6
230.42,1.260e-6,,,1.260e-6
230.47,4.849e-7,,,4.849e-7
230.52,1.697e-7,,,1.697e-7
230.57,5.405e-8,,,5.405e-8
230.62,1.566e-8,,,1.566e-8
230.67,4.127e-9,,,4.127e-9
230.72,9.897e-10,,,9.897e-10
230.77,2.159e-10,,,2.159e-10
230.82,4.285e-11,,,4.285e-11
230.87,7.737e-12,,,7.737e-12
230.92,1.271e-12,,,1.271e-12
230.97,1.899e-13,,,1.899e-13
231.02,1.006e-11,,1.003e-11,2.582e-14
231.07,1.279e-10,,1.279e-10,3.194e-15
231.12,1.487e-9,,1.487e-9,3.595e-16
231.17,1.577e-8,,1.577e-8,3.680e-17
231.22,1.524e-7,,1.524e-7,3.428e-18
231.27,1.342e-6,,1.342e-6,2.904e-19
231.32,1.078e-5,,1.078e-5,2.239e-20
231.37,7.893e-5,,7.893e-5,
231.42,5.270e-4,,5.270e-4,
231.47,3.208e-3,,3.208e-3,
231.52,1.781e-2,,1.781e-2,
231.58,1.234e-1,,1.234e-1,
231.63,5.593e-1,,5.593e-1,
231.68,2.314e+0,,2.314e+0,
231.73,8.733e+0,,8.733e+0,
231.78,3.009e+1,,3.009e+1,
231.83,9.465e+1,,9.465e+1,
231.88,2.720e+2,,2.720e+2,
231.93,7.144e+2,,7.144e+2,
231.98,1.716e+3,,1.716e+3,
232.03,3.774e+3,,3.774e+3,
232.08,7.608e+3,,7.608e+3,
232.13,1.408e+4,,1.408e+4,
232.18,2.394e+4,,2.394e+4,
232.23,3.752e+4,,3.752e+4,
232.28,5.431e+4,,5.431e+4,
232.33,7.278e+4,,7.278e+4,
232.38,9.057e+4,,9.057e+4,
232.43,1.049e+5,,1.049e+5,
232.48,1.135e+5,,1.135e+5,
232.53,1.149e+5,,1.149e+5,
232.58,1.089e+5,,1.089e+5,
232.63,9.660e+4,,9.660e+4,
232.68,8.021e+4,,8.021e+4,
232.73,6.222e+4,,6.222e+4,
232.78,4.499e+4,,4.499e+4,
232.83,3.025e+4,,3.025e+4,
232.88,1.886e+4,,1.886e+4,
