Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
261.28,5.847e+6,5.847e+6,2.000e-4
261.33,1.276e+7,1.276e+7,3.034e-5
261.38,2.589e+7,2.589e+7,4.274e-6
261.43,4.883e+7,4.883e+7,5.592e-7
261.48,8.561e+7,8.561e+7,6.792e-8
261.53,1.396e+8,1.396e+8,7.666e-9
261.58,2.115e+8,2.115e+8,8.036e-10
261.63,2.980e+8,2.980e+8,
261.68,3.903e+8,3.903e+8,
261.73,4.752e+8,4.752e+8,
261.78,5.379e+8,5.379e+8,
261.83,5.661e+8,5.661e+8,
261.88,5.538e+8,5.538e+8,
261.93,5.037e+8,5.037e+8,
261.98,4.259e+8,4.259e+8,
262.03,3.348e+8,3.348e+8,
262.08,2.447e+8,2.447e+8,
262.13,1.663e+8,1.663e+8,
262.18,1.050e+8,1.050e+8,
262.23,6.166e+7,6.166e+7,
262.28,3.366e+7,3.366e+7,
262.33,1.708e+7,1.708e+7,
262.38,8.060e+6,8.060e+6,
262.44,2.972e+6,2.972e+6,
262.49,1.194e+6,1.194e+6,
262.54,4.462e+5,4.462e+5,
262.59,1.550e+5,1.550e+5,
262.64,5.004e+4,5.004e+4,
262.69,1.502e+4,1.502e+4,
262.74,4.192e+3,4.192e+3,
262.79,1.088e+3,1.088e+3,
262.84,2.623e+2,2.623e+2,
262.89,5.882e+1,5.882e+1,
262.94,1.226e+1,1.226e+1,
262.99,2.376e+0,2.376e+0,
263.04,4.282e-1,4.282e-1,
263.09,7.172e-2,7.172e-2,
263.14,1.117e-2,1.117e-2,
263.19,1.617e-3,1.617e-3,
263.24,2.176e-4,2.176e-4,
263.29,2.722e-5,2.722e-5,
263.34,3.166e-6,3.166e-6,
263.39,3.424e-7,3.424e-7,
267.29,1.646e-10,,1.646e-10
267.34,1.536e-9,,1.536e-9
267.39,1.337e-8,,1.337e-8
267.44,1.086e-7,,1.086e-7
267.49,8.232e-7,,8.232e-7
267.54,5.824e-6,,5.824e-6
267.59,3.845e-5,,3.845e-5
267.64,2.369e-4,,2.369e-4
267.69,1.362e-3,,1.362e-3
267.74,7.307e-3,,7.307e-3
267.79,3.658e-2,,3.658e-2
267.84,1.709e-1,,1.709e-1
267.89,7.454e-1,,7.454e-1
267.94,3.033e+0,,3.033e+0
267.99,1.152e+1,,1.152e+1
268.04,4.081e+1,,4.081e+1
268.09,1.350e+2,,1.350e+2
268.14,4.165e+2,,4.165e+2
268.19,1.199e+3,,1.199e+3
268.24,3.224e+3,,3.224e+3
268.29,8.085e+3,,8.085e+3
268.34,1.892e+4,,1.892e+4
268.39,4.133e+4,,4.133e+4
268.44,8.423e+4,,8.423e+4
268.49,1.602e+5,,1.602e+5
268.54,2.844e+5,,2.844e+5
268.59,4.711e+5,,4.711e+5
268.64,7.282e+5,,7.282e+5
268.69,1.050e+6,,1.050e+6
268.74,1.414e+6,,1.414e+6
268.79,1.777e+6,,1.777e+6
268.84,2.083e+6,,2.083e+6
268.89,2.279e+6,,2.279e+6
268.94,2.326e+6,,2.326e+6
268.99,2.216e+6,,2.216e+6
269.04,1.971e+6,,1.971e+6
269.09,1.635e+6,,1.635e+6
269.14,1.266e+6,,1.266e+6
269.19,9.148e+5,,9.148e+5
269.24,6.170e+5,,6.170e+5
269.29,3.884e+5,,3.884e+5
269.34,2.287e+5,,2.287e+5
269.39,1.270e+5,,1.270e+5
269.44,6.910e+4,,6.910e+4
269.49,4.299e+4,,4.299e+4
269.54,4.154e+4,,4.154e+4
269.59,6.411e+4,,6.411e+4
269.64,1.165e+5,,1.165e+5
269.69,2.100e+5,,2.100e+5
269.74,3.587e+5,,3.587e+5
269.79,5.755e+5,,5.755e+5
269.84,8.665e+5,,8.665e+5
269.89,1.226e+6,,1.226e+6
269.94,1.632e+6,,1.632e+6
269.99,2.049e+6,,2.049e+6
270.04,2.431e+6,,2.431e+6
270.09,2.734e+6,,2.734e+6
270.14,2.921e+6,,2.921e+6
270.19,2.972e+6,,2.972e+6
270.24,2.885e+6,,2.885e+6
270.29,2.675e+6,,2.675e+6
270.34,2.369e+6,,2.369e+6
270.39,2.001e+6,,2.001e+6
270.44,1.611e+6,,1.611e+6
270.49,1.232e+6,,1.232e+6
270.54,8.931e+5,,8.931e+5
270.59,6.127e+5,,6.127e+5
270.64,3.979e+5,,3.979e+5
270.69,2.469e+5,,2.469e+5
270.74,1.525e+5,,1.525e+5
270.79,1.070e+5,,1.070e+5
270.84,1.059e+5,,1.059e+5
270.89,1.504e+5,,1.504e+5
270.94,2.477e+5,,2.477e+5
270.99,4.081e+5,,4.081e+5
271.04,6.396e+5,,6.396e+5
271.09,9.407e+5,,9.407e+5
271.14,1.294e+6,,1.294e+6
271.19,1.665e+6,,1.665e+6
271.24,2.003e+6,,2.003e+6
271.29,2.256e+6,,2.256e+6
271.34,2.381e+6,,2.381e+6
271.39,2.364e+6,,2.364e+6
271.44,2.223e+6,,2.223e+6
271.49,2.005e+6,,2.005e+6
271.54,1.771e+6,,1.771e+6
271.59,1.581e+6,,1.581e+6
271.64,1.473e+6,,1.473e+6
271.69,1.455e+6,,1.455e+6
271.74,1.505e+6,,1.505e+6
271.79,1.579e+6,,1.579e+6
271.84,1.629e+6,,1.629e+6
271.89,1.616e+6,,1.616e+6
271.94,1.519e+6,,1.519e+6
271.99,1.344e+6,,1.344e+6
272.04,1.116e+6,,1.116e+6
272.09,8.675e+5,,8.675e+5
272.14,6.307e+5,,6.307e+5
272.19,4.288e+5,,4.288e+5
272.24,2.725e+5,,2.725e+5
272.29,1.618e+5,,1.618e+5
272.34,8.984e+4,,8.984e+4
272.39,4.661e+4,,4.661e+4
272.44,2.260e+4,,2.260e+4
272.49,1.024e+4,,1.024e+4
272.54,4.339e+3,,4.339e+3
272.59,1.718e+3,,1.718e+3
272.64,6.354e+2,,6.354e+2
272.69,2.197e+2,,2.197e+2
272.74,7.100e+1,,7.100e+1
272.79,2.144e+1,,2.144e+1
272.84,6.052e+0,,6.052e+0
272.89,1.597e+0,,1.597e+0
272.94,3.936e-1,,3.936e-1
272.99,9.070e-2,,9.070e-2
273.04,1.953e-2,,1.953e-2
273.09,3.931e-3,,3.931e-3
273.14,7.395e-4,,7.395e-4
273.19,1.300e-4,,1.300e-4
273.24,2.136e-5,,2.136e-5
273.29,3.280e-6,,3.280e-6
273.34,4.707e-7,,4.707e-7
273.39,6.313e-8,,6.313e-8
273.44,7.913e-9,,7.913e-9
273.49,9.270e-10,,9.270e-10
274.99,5.636e-8,5.636e-8,
275.04,4.712e-7,4.712e-7,
275.09,3.690e-6,3.690e-6,
275.14,2.706e-5,2.706e-5,
275.19,1.860e-4,1.860e-4,
275.24,1.197e-3,1.197e-3,
275.29,7.218e-3,7.218e-3,2.618e-10
275.34,4.077e-2,4.077e-2,2.264e-9
275.39,2.157e-1,2.157e-1,1.835e-8
275.44,1.069e+0,1.069e+0,1.393e-7
275.49,4.964e+0,4.964e+0,9.909e-7
275.54,2.159e+1,2.159e+1,6.604e-6
275.59,8.797e+1,8.797e+1,4.123e-5
275.64,3.357e+2,3.357e+2,2.412e-4
275.69,1.200e+3,1.200e+3,1.322e-3
275.74,4.020e+3,4.020e+3,6.787e-3
275.79,1.261e+4,1.261e+4,3.265e-2
275.84,3.706e+4,3.706e+4,1.472e-1
275.89,1.020e+5,1.020e+5,6.214e-1
275.94,2.631e+5,2.631e+5,2.458e+0
275.99,6.357e+5,6.357e+5,9.113e+0
276.04,1.439e+6,1.439e+6,3.165e+1
276.09,3.050e+6,3.050e+6,1.030e+2
276.14,6.056e+6,6.056e+6,3.139e+2
276.19,1.127e+7,1.126e+7,8.963e+2
276.24,1.963e+7,1.963e+7,2.398e+3
276.29,3.205e+7,3.204e+7,6.012e+3
276.34,4.901e+7,4.899e+7,1.412e+4
276.39,7.021e+7,7.018e+7,3.107e+4
276.44,9.423e+7,9.416e+7,6.406e+4
276.49,1.185e+8,1.184e+8,1.237e+5
276.54,1.396e+8,1.394e+8,2.239e+5
276.59,1.541e+8,1.537e+8,3.797e+5
276.64,1.594e+8,1.588e+8,6.031e+5
276.69,1.546e+8,1.537e+8,8.975e+5
276.74,1.406e+8,1.394e+8,1.251e+6
276.79,1.200e+8,1.184e+8,1.635e+6
276.84,9.617e+7,9.416e+7,2.001e+6
276.89,7.247e+7,7.018e+7,2.294e+6
276.94,5.146e+7,4.899e+7,2.465e+6
276.99,3.452e+7,3.204e+7,2.481e+6
277.04,2.197e+7,1.963e+7,2.340e+6
277.09,1.333e+7,1.126e+7,2.067e+6
277.14,7.767e+6,6.056e+6,1.711e+6
277.19,4.377e+6,3.050e+6,1.327e+6
277.24,2.403e+6,1.439e+6,9.643e+5
277.29,1.292e+6,6.357e+5,6.564e+5
277.34,6.818e+5,2.631e+5,4.187e+5
277.39,3.522e+5,1.020e+5,2.502e+5
277.44,1.771e+5,3.706e+4,1.401e+5
277.49,8.607e+4,1.261e+4,7.346e+4
277.54,4.012e+4,4.020e+3,3.610e+4
277.59,1.782e+4,1.200e+3,1.662e+4
277.64,7.505e+3,3.357e+2,7.169e+3
277.69,2.985e+3,8.797e+1,2.897e+3
277.74,1.119e+3,2.159e+1,1.097e+3
277.79,3.941e+2,4.964e+0,3.892e+2
277.84,1.304e+2,1.069e+0,1.293e+2
277.89,4.049e+1,2.157e-1,4.028e+1
277.94,1.179e+1,4.077e-2,1.175e+1
277.99,3.219e+0,7.218e-3,3.212e+0
278.04,8.236e-1,1.197e-3,8.224e-1
278.09,1.975e-1,1.860e-4,1.973e-1
278.14,4.438e-2,2.706e-5,4.435e-2
278.19,9.345e-3,3.690e-6,9.341e-3
