Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  257.88,6.06E+07,6.06E+07,
  257.93,5.38E+07,5.38E+07,
  257.98,4.51E+07,4.51E+07,
  258.03,3.58E+07,3.58E+07,
  258.08,2.73E+07,2.73E+07,
  258.13,2.07E+07,2.07E+07,
  258.18,1.64E+07,1.64E+07,
  258.23,1.44E+07,1.44E+07,
  258.28,1.43E+07,1.43E+07,
  258.33,1.56E+07,1.56E+07,
  258.38,1.76E+07,1.76E+07,
  258.43,1.97E+07,1.97E+07,
  258.48,2.14E+07,2.14E+07,
  258.53,2.28E+07,2.28E+07,
  258.58,2.41E+07,2.41E+07,
  258.63,2.56E+07,2.56E+07,
  258.68,2.77E+07,2.77E+07,
  258.73,3.10E+07,3.10E+07,
  258.78,3.59E+07,3.59E+07,
  258.83,4.29E+07,4.29E+07,
  258.88,5.27E+07,5.27E+07,
  258.93,6.54E+07,6.54E+07,
  258.98,8.04E+07,8.04E+07,
  259.03,9.63E+07,9.63E+07,
  259.08,1.10E+08,1.10E+08,
  259.13,1.20E+08,1.20E+08,
  259.18,1.22E+08,1.22E+08,
  259.23,1.16E+08,1.16E+08,
  259.28,1.03E+08,1.03E+08,
  259.33,8.55E+07,8.55E+07,
  259.38,6.58E+07,6.58E+07,
  259.43,4.70E+07,4.70E+07,
  259.48,3.12E+07,3.12E+07,
  259.53,1.92E+07,1.92E+07,
  259.58,1.10E+07,1.10E+07,
  259.63,5.85E+06,5.85E+06,
  259.68,2.90E+06,2.90E+06,
  259.73,1.37E+06,1.37E+06,
  259.78,6.87E+05,6.87E+05,
  259.83,5.08E+05,5.08E+05,
  259.88,6.86E+05,6.86E+05,
  259.93,1.21E+06,1.21E+06,
  259.98,2.16E+06,2.16E+06,
  260.03,3.64E+06,3.64E+06,
  260.08,5.70E+06,5.70E+06,
  260.13,8.30E+06,8.30E+06,
  260.18,1.12E+07,1.12E+07,
  260.23,1.41E+07,1.41E+07,
  260.28,1.65E+07,1.65E+07,
  260.33,1.79E+07,1.79E+07,
  260.38,1.80E+07,1.80E+07,
  260.43,1.69E+07,1.69E+07,
  260.48,1.47E+07,1.47E+07,
  260.53,1.18E+07,1.18E+07,
  260.58,8.87E+06,8.87E+06,
  260.63,6.18E+06,6.18E+06,
  260.68,4.00E+06,4.00E+06,
  260.73,2.40E+06,2.40E+06,
  260.78,1.34E+06,1.34E+06,
  260.83,6.96E+05,6.96E+05,
  260.88,3.36E+05,3.36E+05,
  260.93,1.50E+05,1.50E+05,
  260.98,6.28E+04,6.28E+04,
  261.03,2.53E+04,2.53E+04,
  261.08,1.24E+04,1.24E+04,
  261.13,1.37E+04,1.37E+04,
  261.18,2.98E+04,2.98E+04,
  261.23,7.24E+04,7.24E+04,
  261.28,1.68E+05,1.68E+05,
  261.33,3.63E+05,3.63E+05,
  261.38,7.33E+05,7.33E+05,
  261.43,1.38E+06,1.38E+06,
  261.48,2.42E+06,2.42E+06,
