Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
204.22,2.926e-5,2.926e-5,
204.27,3.837e-4,3.837e-4,
204.32,4.469e-3,4.469e-3,
204.37,4.622e-2,4.622e-2,
204.42,4.246e-1,4.246e-1,
204.47,3.465e+0,3.465e+0,
204.52,2.511e+1,2.511e+1,
204.57,1.616e+2,1.616e+2,
204.62,9.239e+2,9.239e+2,
204.67,4.691e+3,4.691e+3,
204.72,2.115e+4,2.115e+4,
204.77,8.472e+4,8.472e+4,
204.82,3.014e+5,3.014e+5,
204.87,9.522e+5,9.522e+5,
204.92,2.672e+6,2.672e+6,
204.97,6.659e+6,6.659e+6,
205.02,1.474e+7,1.474e+7,
205.07,2.898e+7,2.898e+7,
205.12,5.060e+7,5.060e+7,
205.17,7.847e+7,7.847e+7,
205.22,1.081e+8,1.081e+8,
205.27,1.322e+8,1.322e+8,
205.32,1.437e+8,1.437e+8,
205.37,1.387e+8,1.387e+8,
205.42,1.189e+8,1.189e+8,
205.47,9.048e+7,9.048e+7,
205.52,6.117e+7,6.117e+7,
205.57,3.674e+7,3.674e+7,
205.62,1.959e+7,1.959e+7,
205.67,9.282e+6,9.282e+6,
205.72,3.905e+6,3.905e+6,
205.77,1.459e+6,1.459e+6,
205.82,4.843e+5,4.843e+5,
205.87,1.428e+5,1.428e+5,
205.92,3.738e+4,3.738e+4,
205.97,8.691e+3,8.691e+3,
206.02,1.795e+3,1.795e+3,
206.07,3.292e+2,3.292e+2,
206.12,5.364e+1,5.364e+1,
206.17,7.761e+0,7.761e+0,
206.22,9.974e-1,9.974e-1,
206.27,1.138e-1,1.138e-1,
206.32,1.154e-2,1.154e-2,
206.37,1.039e-3,1.039e-3,
206.42,8.310e-5,8.310e-5,
206.47,5.902e-6,5.902e-6,
206.52,3.723e-7,3.723e-7,
206.57,2.086e-8,2.086e-8,
215.67,1.315e-7,1.315e-7,
215.72,2.101e-6,2.101e-6,
215.77,3.019e-5,3.019e-5,
215.82,3.902e-4,3.902e-4,
215.87,4.534e-3,4.534e-3,
215.92,4.738e-2,4.738e-2,
215.97,4.452e-1,4.452e-1,
216.02,3.763e+0,3.763e+0,
216.07,2.859e+1,2.859e+1,
216.12,1.954e+2,1.954e+2,
216.17,1.201e+3,1.201e+3,
216.22,6.636e+3,6.636e+3,
216.27,3.298e+4,3.298e+4,
216.32,1.474e+5,1.474e+5,
216.37,5.923e+5,5.923e+5,
216.42,2.141e+6,2.141e+6,
216.47,6.957e+6,6.957e+6,
216.52,2.033e+7,2.033e+7,
216.57,5.343e+7,5.343e+7,
216.62,1.263e+8,1.263e+8,
216.67,2.684e+8,2.684e+8,
216.72,5.129e+8,5.129e+8,
216.77,8.815e+8,8.815e+8,
216.82,1.362e+9,1.362e+9,
216.87,1.893e+9,1.893e+9,
216.92,2.366e+9,2.366e+9,
216.97,2.659e+9,2.659e+9,
217.02,2.688e+9,2.688e+9,
217.07,2.443e+9,2.443e+9,
217.12,1.997e+9,1.997e+9,
217.17,1.467e+9,1.467e+9,
217.22,9.698e+8,9.698e+8,
217.27,5.764e+8,5.764e+8,
217.32,3.081e+8,3.081e+8,
217.37,1.481e+8,1.481e+8,
217.42,6.400e+7,6.400e+7,
217.47,2.488e+7,2.488e+7,
217.52,8.694e+6,8.694e+6,
217.57,2.733e+6,2.733e+6,
217.62,7.724e+5,7.724e+5,
217.67,1.963e+5,1.963e+5,
217.72,4.487e+4,4.487e+4,
217.77,9.223e+3,9.223e+3,
217.82,1.705e+3,1.705e+3,
217.87,2.834e+2,2.834e+2,
217.92,4.235e+1,4.235e+1,
217.97,5.693e+0,5.693e+0,
218.02,6.881e-1,6.881e-1,
218.07,7.480e-2,7.480e-2,
218.12,7.311e-3,7.311e-3,
218.17,6.426e-4,6.426e-4,
218.22,5.080e-5,5.080e-5,
218.27,3.611e-6,3.611e-6,
218.32,2.308e-7,2.308e-7,
219.02,1.118e-6,,1.118e-6
219.07,1.643e-5,,1.643e-5
219.12,2.179e-4,,2.179e-4
219.17,2.606e-3,,2.606e-3
219.22,2.812e-2,,2.812e-2
219.27,2.738e-1,,2.738e-1
219.32,2.404e+0,,2.404e+0
219.37,1.905e+1,,1.905e+1
219.42,1.362e+2,,1.362e+2
219.47,8.781e+2,,8.781e+2
219.52,5.108e+3,,5.108e+3
219.57,2.681e+4,,2.681e+4
