Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
216.52,5.100e+4,5.099e+4,3.882e+0
216.57,4.733e+4,4.732e+4,1.597e+0
216.62,3.948e+4,3.948e+4,5.900e-1
216.67,2.960e+4,2.960e+4,1.960e-1
216.72,1.995e+4,1.995e+4,5.897e-2
216.77,1.208e+4,1.208e+4,1.822e-2
216.82,6.578e+3,6.578e+3,1.512e-2
216.87,3.219e+3,3.219e+3,4.611e-2
216.92,1.416e+3,1.416e+3,1.629e-1
216.97,5.603e+2,5.598e+2,5.262e-1
217.02,2.005e+2,1.989e+2,1.531e+0
217.07,6.761e+1,6.360e+1,4.008e+0
217.12,2.803e+1,1.857e+1,9.457e+0
217.17,2.644e+1,6.295e+0,2.014e+1
217.22,4.688e+1,7.955e+0,3.892e+1
217.27,9.599e+1,2.693e+1,6.906e+1
217.32,2.092e+2,9.355e+1,1.156e+2
217.37,4.869e+2,2.947e+2,1.922e+2
217.42,1.176e+3,8.362e+2,3.401e+2
217.47,2.802e+3,2.135e+3,6.661e+2
217.52,6.308e+3,4.910e+3,1.398e+3
217.57,1.310e+4,1.017e+4,2.937e+3
217.62,2.481e+4,1.896e+4,5.848e+3
217.67,4.259e+4,3.187e+4,1.072e+4
217.72,6.621e+4,4.837e+4,1.784e+4
217.77,9.321e+4,6.638e+4,2.683e+4
217.82,1.191e+5,8.271e+4,3.638e+4
217.87,1.386e+5,9.416e+4,4.442e+4
217.92,1.477e+5,9.892e+4,4.882e+4
217.97,1.456e+5,9.731e+4,4.831e+4
218.02,1.344e+5,9.133e+4,4.303e+4
218.07,1.177e+5,8.321e+4,3.450e+4
218.12,9.923e+4,7.432e+4,2.490e+4
218.17,8.101e+4,6.483e+4,1.618e+4
218.22,6.387e+4,5.440e+4,9.469e+3
218.27,4.810e+4,4.311e+4,4.993e+3
218.32,3.409e+4,3.171e+4,2.378e+3
218.37,2.244e+4,2.141e+4,1.037e+3
218.42,1.361e+4,1.315e+4,4.535e+2
218.47,7.629e+3,7.322e+3,3.070e+2
218.52,4.167e+3,3.682e+3,4.849e+2
218.57,2.732e+3,1.671e+3,1.062e+3
218.62,2.950e+3,6.832e+2,2.267e+3
218.67,4.686e+3,2.517e+2,4.434e+3
218.72,7.997e+3,8.349e+1,7.914e+3
218.77,1.299e+4,2.494e+1,1.297e+4
218.82,1.972e+4,6.708e+0,1.972e+4
218.87,2.823e+4,1.624e+0,2.823e+4
218.92,3.870e+4,3.541e-1,3.870e+4
218.97,5.146e+4,6.951e-2,5.146e+4
219.02,6.664e+4,1.228e-2,6.664e+4
219.07,8.346e+4,1.954e-3,8.346e+4
219.12,9.961e+4,2.799e-4,9.961e+4
219.17,1.114e+5,3.609e-5,1.114e+5
219.22,1.153e+5,4.190e-6,1.153e+5
219.27,1.093e+5,4.379e-7,1.093e+5
219.32,9.423e+4,4.120e-8,9.423e+4
219.37,7.366e+4,3.490e-9,7.366e+4
219.42,5.210e+4,2.662e-10,5.210e+4
219.47,3.331e+4,1.828e-11,3.331e+4
219.52,1.927e+4,,1.927e+4
219.57,1.010e+4,,1.010e+4
219.62,4.827e+3,,4.827e+3
219.67,2.124e+3,,2.124e+3
219.72,8.776e+2,,8.776e+2
219.77,3.541e+2,,3.541e+2
219.82,1.503e+2,,1.503e+2
