Wavelength (nm),Sum,Zn I (3.9e-01),Zn II (6.1e-01)
250.98,1.882e+3,,1.882e+3
251.03,5.202e+2,,5.202e+2
251.08,1.328e+2,,1.328e+2
251.13,3.127e+1,,3.127e+1
251.18,6.802e+0,,6.802e+0
251.23,1.366e+0,,1.366e+0
251.28,2.532e-1,,2.532e-1
251.33,4.334e-2,,4.334e-2
251.38,6.848e-3,,6.848e-3
251.43,9.990e-4,,9.990e-4
251.48,1.346e-4,,1.346e-4
251.53,1.673e-5,,1.673e-5
251.58,1.921e-6,,1.921e-6
251.63,2.036e-7,,2.036e-7
251.68,1.992e-8,,1.992e-8
251.73,1.800e-9,,1.800e-9
254.28,4.365e-8,,4.365e-8
254.33,4.224e-7,,4.224e-7
254.38,3.786e-6,,3.786e-6
254.43,3.144e-5,,3.144e-5
254.48,2.419e-4,,2.419e-4
254.53,1.724e-3,,1.724e-3
254.58,1.138e-2,,1.138e-2
254.63,6.962e-2,,6.962e-2
254.68,3.945e-1,,3.945e-1
254.73,2.071e+0,,2.071e+0
254.78,1.007e+1,,1.007e+1
254.83,4.539e+1,,4.539e+1
254.88,1.895e+2,,1.895e+2
254.93,7.328e+2,,7.328e+2
254.98,2.626e+3,,2.626e+3
255.03,8.715e+3,,8.715e+3
255.08,2.680e+4,,2.680e+4
255.13,7.635e+4,,7.635e+4
255.18,2.015e+5,,2.015e+5
255.23,4.927e+5,,4.927e+5
255.28,1.116e+6,,1.116e+6
255.33,2.342e+6,,2.342e+6
255.38,4.553e+6,,4.553e+6
255.43,8.201e+6,,8.201e+6
255.48,1.368e+7,,1.368e+7
255.53,2.115e+7,,2.115e+7
255.58,3.029e+7,,3.029e+7
255.63,4.019e+7,,4.019e+7
255.68,4.940e+7,,4.940e+7
255.73,5.626e+7,,5.626e+7
255.78,5.935e+7,,5.935e+7
255.83,5.800e+7,,5.800e+7
255.88,5.252e+7,,5.252e+7
255.93,4.405e+7,,4.405e+7
255.98,3.423e+7,,3.423e+7
256.03,2.465e+7,,2.465e+7
256.08,1.644e+7,,1.644e+7
256.13,1.016e+7,,1.016e+7
256.18,5.814e+6,,5.814e+6
256.23,3.084e+6,,3.084e+6
256.28,1.515e+6,,1.515e+6
256.33,6.898e+5,,6.898e+5
256.38,2.915e+5,,2.915e+5
256.43,1.156e+5,,1.156e+5
256.48,4.599e+4,,4.599e+4
256.53,2.509e+4,,2.509e+4
256.58,2.855e+4,,2.855e+4
