Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
202.63,1.476e+3,,,,7.882e-11,1.289e-4,1.308e+3,,,5.560e+0,1.633e+2,
202.66,1.366e+3,,,,8.055e-12,9.145e-5,1.270e+3,,,1.578e+0,9.395e+1,
202.68,1.226e+3,,,,4.770e-11,6.649e-5,1.166e+3,,,6.184e-1,5.910e+1,
202.71,9.382e+2,,,,1.125e-9,3.603e-5,9.124e+2,,,1.310e-1,2.569e+1,
202.73,7.247e+2,,,,8.432e-9,2.199e-5,7.111e+2,,,4.222e-2,1.351e+1,
202.75,5.223e+2,,,,5.849e-8,1.272e-5,5.156e+2,,,1.258e-2,6.691e+0,
202.78,2.790e+2,,,,9.239e-7,5.864e-6,2.768e+2,,,1.769e-3,2.144e+0,
202.8,1.673e+2,,,,5.280e-6,4.627e-6,1.663e+2,,,4.338e-4,9.850e-1,
202.83,6.740e+1,,,,6.238e-5,6.100e-6,6.705e+1,,,4.551e-5,3.430e-1,
202.85,3.345e+1,,,,2.937e-4,8.672e-6,3.322e+1,,,9.180e-6,2.218e-1,
202.88,1.026e+1,,,,2.595e-3,1.392e-5,1.002e+1,,,7.185e-7,2.347e-1,
202.9,4.432e+0,,,,1.007e-2,1.758e-5,4.089e+0,,,1.192e-7,3.328e-1,
202.93,1.606e+0,,,,6.653e-2,2.176e-5,9.211e-1,,,6.963e-9,6.186e-1,
202.95,1.446e+0,,,,2.127e-1,2.293e-5,3.094e-1,,,9.507e-10,9.234e-1,
202.98,2.698e+0,,,,1.051e+0,2.183e-5,5.206e-2,,,4.142e-11,1.595e+0,
203,4.972e+0,,,,2.768e+0,1.956e-5,1.439e-2,,,4.652e-12,2.189e+0,
203.03,1.345e+1,,,,1.023e+1,1.511e-5,1.808e-3,,,1.513e-13,3.221e+0,
203.05,2.609e+1,,,,2.220e+1,1.215e-5,4.114e-4,,,1.398e-14,3.884e+0,
203.08,6.593e+1,,,,6.137e+1,8.402e-6,3.859e-5,,,3.390e-16,4.565e+0,
203.1,1.144e+2,,,,1.097e+2,6.449e-6,7.226e-6,,,2.577e-17,4.667e+0,
203.12,1.860e+2,,,,1.815e+2,4.865e-6,1.252e-6,,,1.812e-18,4.439e+0,
203.15,3.377e+2,,,,3.341e+2,3.038e-6,7.800e-8,,,2.917e-20,3.586e+0,
203.17,4.583e+2,,,,4.555e+2,2.148e-6,1.112e-8,,,2.919e-20,2.830e+0,
203.2,6.287e+2,,,,6.270e+2,1.377e-6,5.173e-10,,,2.922e-20,1.720e+0,
203.22,7.054e+2,,,,7.043e+2,1.385e-6,6.071e-11,,,2.925e-20,1.123e+0,
203.25,7.256e+2,,,,7.250e+2,2.761e-6,2.109e-12,,,2.928e-20,5.251e-1,
203.27,6.713e+2,,,,6.710e+2,5.252e-6,2.036e-13,,,2.931e-20,3.266e-1,
203.3,5.170e+2,,,,5.166e+2,1.318e-5,5.281e-15,,,2.934e-20,3.994e-1,
203.32,3.949e+2,,,,3.939e+2,2.259e-5,4.197e-16,,,2.936e-20,9.431e-1,
203.35,2.309e+2,,,,2.269e+2,4.483e-5,8.127e-18,,,2.940e-20,3.960e+0,
203.37,1.525e+2,,,,1.428e+2,6.527e-5,5.316e-19,,,2.942e-20,9.607e+0,
203.4,9.439e+1,,,,6.286e+1,1.021e-4,5.065e-19,,,2.945e-20,3.153e+1,
203.42,9.867e+1,,,,3.539e+1,1.279e-4,4.897e-19,,,2.948e-20,6.327e+1,
203.45,1.781e+2,,,,2.211e+1,1.629e-4,4.646e-19,,,2.951e-20,1.560e+2,
203.47,2.874e+2,,,,2.815e+1,1.811e-4,4.479e-19,,,2.953e-20,2.592e+2,
203.49,4.458e+2,,,,4.583e+1,1.944e-4,4.311e-19,,,2.956e-20,4.000e+2,
203.52,7.671e+2,,,,9.670e+1,2.061e-4,4.060e-19,,,2.959e-20,6.704e+2,
203.54,1.016e+3,,,,1.474e+2,2.101e-4,3.893e-19,,,2.961e-20,8.689e+2,
203.57,1.384e+3,,,,2.409e+2,2.136e-4,3.641e-19,,,2.965e-20,1.143e+3,
203.59,1.588e+3,,,,3.036e+2,2.162e-4,3.474e-19,,,2.967e-20,1.284e+3,
203.62,1.788e+3,,,,3.717e+2,2.235e-4,3.223e-19,,,2.971e-20,1.416e+3,
203.64,1.841e+3,,,,3.864e+2,2.315e-4,3.055e-19,,,2.973e-20,1.454e+3,
203.67,1.799e+3,,,,3.542e+2,2.465e-4,2.804e-19,,,2.976e-20,1.445e+3,
203.69,1.696e+3,,,,3.036e+2,2.558e-4,2.637e-19,,,2.979e-20,1.392e+3,
203.72,1.441e+3,,,,2.084e+2,2.627e-4,2.385e-19,,,2.982e-20,1.232e+3,
203.74,1.219e+3,,,,1.473e+2,2.607e-4,2.218e-19,,,2.984e-20,1.072e+3,
203.77,8.570e+2,,,,7.594e+1,2.484e-4,1.967e-19,,,2.988e-20,7.811e+2,
203.79,6.284e+2,,,,4.484e+1,2.368e-4,1.799e-19,,,2.990e-20,5.836e+2,
203.82,3.510e+2,,,,2.038e+1,2.203e-4,1.548e-19,,,2.993e-20,3.306e+2,
