Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
207.25,1.590e+0,,1.590e+0,1.588e-5,1.374e-18,,
207.27,6.738e-1,,6.738e-1,8.546e-6,1.411e-18,,
207.29,2.650e-1,,2.650e-1,5.461e-6,1.449e-18,,
207.32,5.683e-2,,5.682e-2,5.159e-6,1.505e-18,,
207.34,1.855e-2,,1.854e-2,6.374e-6,1.542e-18,,
207.37,3.014e-3,,3.005e-3,8.794e-6,1.598e-18,,
207.39,8.238e-4,,8.137e-4,1.017e-5,1.636e-18,,
207.42,1.108e-4,,9.967e-5,1.112e-5,1.692e-18,,
207.44,3.325e-5,,2.239e-5,1.085e-5,1.729e-18,,
207.47,1.148e-5,,2.073e-6,9.402e-6,1.786e-18,,
207.49,8.578e-6,,3.901e-7,8.188e-6,1.823e-18,,
207.52,7.085e-6,,9.049e-8,6.995e-6,1.879e-18,,
207.54,7.829e-6,,3.926e-7,7.436e-6,1.917e-18,,
207.57,1.929e-5,,5.120e-6,1.417e-5,1.973e-18,,
207.59,5.790e-5,,2.605e-5,3.186e-5,2.010e-18,,
207.62,3.955e-4,,2.602e-4,1.352e-4,2.066e-18,,
207.64,1.455e-3,,1.101e-3,3.544e-4,2.104e-18,,
207.66,5.205e-3,,4.322e-3,8.825e-4,2.141e-18,,
207.69,3.235e-2,,2.929e-2,3.060e-3,2.197e-18,,
207.71,1.020e-1,,9.562e-2,6.409e-3,2.235e-18,,
207.74,5.079e-1,,4.910e-1,1.693e-2,2.291e-18,,
207.76,1.362e+0,,1.332e+0,2.949e-2,2.329e-18,,
207.79,5.244e+0,,5.185e+0,5.903e-2,2.385e-18,,
207.81,1.178e+1,,1.170e+1,8.548e-2,2.422e-18,,
207.84,3.462e+1,,3.449e+1,1.296e-1,2.478e-18,,
207.86,6.482e+1,,6.466e+1,1.560e-1,3.376e-17,,
207.89,1.447e+2,,1.445e+2,1.792e-1,1.479e-15,,
207.91,2.254e+2,,2.252e+2,1.792e-1,1.676e-14,,
207.94,3.816e+2,,3.814e+2,1.560e-1,5.572e-13,,
207.96,4.942e+2,,4.941e+2,1.296e-1,5.255e-12,,
207.99,6.343e+2,,6.342e+2,8.549e-2,1.326e-10,,
208.01,6.829e+2,,6.828e+2,5.904e-2,1.040e-9,,
208.03,6.829e+2,,6.828e+2,3.787e-2,7.581e-9,,
208.06,5.945e+2,,5.944e+2,1.693e-2,1.300e-7,,
208.08,4.941e+2,,4.941e+2,9.026e-3,7.883e-7,,
208.11,3.260e+2,,3.260e+2,3.060e-3,1.026e-5,,
208.13,2.252e+2,,2.252e+2,1.359e-3,5.175e-5,,
208.16,1.126e+2,,1.126e+2,3.569e-4,5.110e-4,,
208.18,6.467e+1,,6.466e+1,1.445e-4,2.145e-3,,
208.21,2.452e+1,,2.450e+1,6.680e-5,1.607e-2,,
208.23,1.175e+1,,1.170e+1,8.617e-5,5.615e-2,,
208.26,3.677e+0,,3.358e+0,1.945e-4,3.193e-1,,
208.28,2.261e+0,,1.333e+0,3.359e-4,9.278e-1,,
